,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
48,0.376537383,,36.0,0.149730161,,306.0,10.1126/science.1191465,Mary A. Pyc; Katherine A. Rawson,Why Testing Improves Memory: Mediator Effectiveness Hypothesis,Science,330.0,6002,335,2010.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,testing improves memory,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1191465"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Pyc M. <i>et al.</i> <i>Science</i> 2010</a>"
49,0.793155372,,20.0,-0.09818399,,79.0,10.1126/science.1199427,Gerardo Ramirez; Sian L. Beilock,Writing About Testing Worries Boosts Exam Performance in the Classroom,Science,331.0,6014,211,2011.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Writing about testing worries boosts exam performance in the classroom,"Social Science Replication Project, Science, Nature, Human Behavior",inconclusive,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1199427"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ramirez G. <i>et al.</i> <i>Science</i> 2011</a>"
50,0.2164277,r,179.0,0.01732414,r,467.0,10.1093/jcr/ucx066,Ashwani Monga; Frank May; Rajesh Bagchi,Eliciting Time versus Money: Time Scarcity Underlies Asymmetric Wage Rates,Journal of Consumer Research,44.0,4,833,2017.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,"By manipulating the timing of an activity, the Time-Elicit (TEL) procedure of stating the maximum amount of hours required for a task should be more sensitive to a change in time scarcity, because time of money required for a task). Analogously, the TEL procedure should be more sensitive to a change in the timing of the activity. That is, distant activitiesscarcity receives a higher weight in TEL vs. Money-Elicit (MEL) procedure - stating the minimum amount should yield lower wage rates, particularly in the TEL (vs. MEL) procedure, which should diminish the wage rate asymmetry","time, money, scarcity, time-money tradeoffs, wage rates, procedural invariance",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1093/jcr/ucx066"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Monga A. <i>et al.</i> <i>Journal of Consumer Research</i> 2017</a>"
51,0.1786519,r,198.0,0.08199041,r,573.0,10.1093/jcr/ucv023,Kristina M. Durante; Vladas Griskevicius; Joseph P. Redden; Andrew Edward White,Spending on Daughters versus Sons in Economic Recessions,Journal of Consumer Research,42.0,3,435,2015.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,"In times of greater economic scarcity, the preference for giving resources to girls (vs. boys) will be moderated by individual differences in risk aversion with greater differences between economic conditions in resource allocation to girls (vs boys) for participants with higher levels of trait risk aversion.","parental decision making, family spending, economic recessions, evolutionary psychology",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1093/jcr/ucv023"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Durante K. <i>et al.</i> <i>Journal of Consumer Research</i> 2015</a>"
52,0.2545049,r,88.0,0.09189366,r,225.0,10.1093/jcr/ucv051,Ravi Mehta; Meng Zhu,Creating When You Have Less: The Impact of Resource Scarcity on Product Use Creativity,Journal of Consumer Research,42.0,5,767,2015.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,Participants who encounter scarcity salience in a prior unrelated context would be more likely to use the provided products in novel but appropriate ways to solve the given task.,"creativity, innovativeness, product use, scarcity, abundance, resource constraints",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1093/jcr/ucv051"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Mehta R. <i>et al.</i> <i>Journal of Consumer Research</i> 2015</a>"
53,0.1378405,r,200.0,0.001836483,r,595.0,10.1509/jmr.13.0451,Meng Zhu; Rebecca K. Ratner,Scarcity Polarizes Preferences: The Impact on Choice among Multiple Items in a Product Class,Journal of Marketing Research,52.0,1,13,2014.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,"Perceiving four varieties of vegetables (carrots, broccoli, cauliflower, tomatoes) as relatively scarce will 1. increase relative preferences for individuals‚Äô favorite of the four 2. Lead to individuals‚Äô favorite vegetable being chosen more from a choice in which participants can select six pieces of vegetable.","scarcity, abundance, preference within a choice set, choices of the favorite, resource constraints, preference polarization",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1509/jmr.13.0451"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Zhu M. <i>et al.</i> <i>Journal of Marketing Research</i> 2014</a>"
54,0.1553651,r,231.0,0.2090226,r,603.0,10.1177/0956797615625640,Eileen Y. Chou; Bidhan L. Parmar; Adam D. Galinsky,Economic Insecurity Increases Physical Pain,Psychological Science,27.0,4,443,2016.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,Recalling an instance in which one felt economically scarce causes an increase in reported physical pain,economic insecurity; pain; sense of control.,success,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1177/0956797615625640"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Chou E. <i>et al.</i> <i>Psychological Science</i> 2016</a>"
55,0.1613215,r,377.0,0.1355482,r,688.0,10.1093/jcr/ucv007,Stephanie Tully; Hal E. Hershfield; Tom Meyvis,Seeking Lasting Enjoyment with Limited Money: Financial Constraints Increase Preference for Material Goods over Experiences,Journal of Consumer Research,42.0,1,59,2015.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,The consideration of financial constraints shifts consumers‚Äô preferences toward material goods rather than experiences. (I.e. Inducing financial scarcity will lead individuals to prefer purchasing material goods over experiences.,"financial constraints, discretionary spending, experiences and material goods, longevity, myopia",success,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1093/jcr/ucv007"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Tully S. <i>et al.</i> <i>Journal of Consumer Research</i> 2015</a>"
56,0.157341,r,160.0,0.003603726,r,389.0,10.1093/jcr/ucw056,Kirk Kristofferson; Brent Mcferran; Andrea C. Morales; Darren W. Dahl,The Dark Side of Scarcity Promotions: How Exposure to Limited-Quantity Promotions Can Induce Aggression,Journal of Consumer Research,,,ucw056,2016.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,This study predicts that there will be higher preferences for violent experiences after exposure to the limited-quantity scarcity promotion (vs. control) among participants who did not reduce the competitive threat via the affiliation task (perceived competitive threat: high). This study also predicts an attenuation of the scarcity-aggression link among participants who did reduce the competitive threat via the affiliation task (perceived competitive threat: low).,"Advertising, Aggression, Consumer promotions, Scarcity, Violence",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1093/jcr/ucw056"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Kristofferson K. <i>et al.</i> <i>Journal of Consumer Research</i> 2016</a>"
57,0.1276427,r,164.0,0.04290029,r,401.0,10.1002/jcpy.1028,Saerom Lee; Hans Baumgartner; Karen Page Winterich,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Journal of Consumer Psychology,28.0,3,412,2018.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient.","Moral values, Fairness, Luxury consumption. Consumption resources, Brand attitude",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1002/jcpy.1028"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Lee S. <i>et al.</i> <i>Journal of Consumer Psychology</i> 2018</a>"
58,0.125,r,199.0,0.1387093,r,507.0,10.1509/jppm.16.157,Laurel Aynne Cook; Raika Sadeghein,Effects of Perceived Scarcity on Financial Decision Making,Journal of Public Policy &amp; Marketing,37.0,1,68,2017.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,"Unfavorable consumer perceptions and behavioral outcomes will be highest when the triple scarcity effect occurs (i.e., no liquidity, limited lending options, and perceived consequences of loss).","resource scarcity, triple scarcity effect, payday loans, lending, financial well-being, Kredit, Credit, Entscheidung, Decision",success,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1509/jppm.16.157"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cook L. <i>et al.</i> <i>Journal of Public Policy &amp;amp; Marketing</i> 2017</a>"
59,0.1678662,r,157.0,0.00790159,r,414.0,10.1093/jcr/ucv048,Caroline Roux; Kelly Goldsmith; Andrea Bonezzi,On the Psychology of Scarcity: When Reminders of Resource Scarcity Promote Selfish (and Generous) Behavior,Journal of Consumer Research,,,ucv048,2015.0,10.1073/pnas.2103313118,Michael O’Donnell; Amelia S. Dev; Stephen Antonoplis; Stephen Baum; Arianna H. Benedetti; N. Derek Brown; Belinda Carrillo; Andrew L. Choi; Paul Connor; Kristin Donnelly; Monica E Ellwood-Lowe; Ruthe Foushee; Rachel Jansen; Shoshana N. Jarvis; Ryan Lundell-Creagh; Joseph Ocampo; Gold N. Okafor; Zahra Rahmani Azad; Michael Rosenblum; Derek Schatz; Daniel H. Stein; Yilu Wang; Don A. Moore; Leif D. Nelson,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,Proceedings of the National Academy of Sciences,118.0,44,e2103313118,2021.0,Marketing,"When scarcity is salient, pro-self individuals will engage in even more selfish behavior compared to prosocial individuals. The difference between proself individual‚Äôs behavior and prosocial individual‚Äôs behavior is attenuated when scarcity is not salient.","resource scarcity, competitive orientation, welfare advancement, selfish, generous",inconclusive,"<a href=""https://doi.org/10.1073/pnas.2103313118"" target=""_blank"" style=""text-decoration:none; color:inherit;"">O’Donnell M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2021</a>","<a href=""https://doi.org/10.1093/jcr/ucv048"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Roux C. <i>et al.</i> <i>Journal of Consumer Research</i> 2015</a>"
60,0.44362515,d,107.0,-0.6125717,d,85.0,10.1038/s41598-017-10669-4,Andrea M. F. Reiter; Philipp Kanske; Ben Eppinger; Shu-Chen Li,The Aging of the Social Mind - Differential Effects on Components of Social Understanding,Scientific Reports,7.0,1,11046,2017.0,10.1098/rsos.210641,Julia Stietz; Lena Pollerhoff; Marcel Kurtz; Shu Li; Andrea M.F. Reiter; Philipp Kanske,The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age,Royal Society Open Science,8.0,8,210641,2021.0,,behavioral age group differences in compassion in adulthood,,failure,"<a href=""https://doi.org/10.1098/rsos.210641"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Stietz J. <i>et al.</i> <i>Royal Society Open Science</i> 2021</a>","<a href=""https://doi.org/10.1038/s41598-017-10669-4"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Reiter A. <i>et al.</i> <i>Scientific Reports</i> 2017</a>"
61,0.14142136,etasq,107.0,0.16124515,etasq,83.0,10.1038/s41598-017-10669-4,Andrea M. F. Reiter; Philipp Kanske; Ben Eppinger; Shu-Chen Li,The Aging of the Social Mind - Differential Effects on Components of Social Understanding,Scientific Reports,7.0,1,11046,2017.0,10.1098/rsos.210641,Julia Stietz; Lena Pollerhoff; Marcel Kurtz; Shu Li; Andrea M.F. Reiter; Philipp Kanske,The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age,Royal Society Open Science,8.0,8,210641,2021.0,,behavioral age group differences in empathy in adulthood,,success,"<a href=""https://doi.org/10.1098/rsos.210641"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Stietz J. <i>et al.</i> <i>Royal Society Open Science</i> 2021</a>","<a href=""https://doi.org/10.1038/s41598-017-10669-4"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Reiter A. <i>et al.</i> <i>Scientific Reports</i> 2017</a>"
62,0.74161985,etasq,107.0,0.7496666,etasq,86.0,10.1038/s41598-017-10669-4,Andrea M. F. Reiter; Philipp Kanske; Ben Eppinger; Shu-Chen Li,The Aging of the Social Mind - Differential Effects on Components of Social Understanding,Scientific Reports,7.0,1,11046,2017.0,10.1098/rsos.210641,Julia Stietz; Lena Pollerhoff; Marcel Kurtz; Shu Li; Andrea M.F. Reiter; Philipp Kanske,The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age,Royal Society Open Science,8.0,8,210641,2021.0,,behavioral age group differences in Theory of Mind (ToM) in adulthood,,success,"<a href=""https://doi.org/10.1098/rsos.210641"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Stietz J. <i>et al.</i> <i>Royal Society Open Science</i> 2021</a>","<a href=""https://doi.org/10.1038/s41598-017-10669-4"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Reiter A. <i>et al.</i> <i>Scientific Reports</i> 2017</a>"
63,0.13618831,,48.0,0.03159226,,51.0,10.1177/0956797611434540,Krishna Savani; Aneeta Rattan,A Choice Mind-Set Increases the Acceptance and Maintenance of Wealth Inequality,Psychological Science,23.0,7,796,2012.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,A choice mind-set increases the acceptance and maintenance of wealth inequality,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797611434540"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Savani K. <i>et al.</i> <i>Psychological Science</i> 2012</a>"
64,0.59884726,,413.0,0.10847633,,188.0,10.1287/orsc.2021.1456,Olenka Kacperczyk; Peter Younkin,"A Founding Penalty: Evidence from an Audit Study on Gender, Entrepreneurship, and Future Employment",Organization Science,33.0,2,716,2021.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,"A founding penalty: evidence from an audit study on gender, entrepreneurship, and future employment",,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1287/orsc.2021.1456"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Kacperczyk O. <i>et al.</i> <i>Organization Science</i> 2021</a>"
65,0.3246242,,80.0,-0.23270135,,84.0,10.1177/0956797615598739,Devon Proudfoot; Aaron C. Kay; Christy Z. Koval,A Gender Bias in the Attribution of Creativity,Psychological Science,26.0,11,1751,2015.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,A gender bias in the attribution of creativity: perceived association between masculinity and creative thinking,,failure,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797615598739"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Proudfoot D. <i>et al.</i> <i>Psychological Science</i> 2015</a>"
66,0.31141217,,56.0,-0.03954395,,30.0,10.1177/0956797616634654,Caroline J. Charpentier; Jan-Emmanuel De Neve; Xinyi Li; Jonathan P. Roiser; Tali Sharot,Models of Affective Decision Making,Psychological Science,27.0,6,763,2016.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,affective decision making: how do feelings predict choice?,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797616634654"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Charpentier C. <i>et al.</i> <i>Psychological Science</i> 2016</a>"
67,0.2221688,,555.0,0.10045883,,150.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Age and Time Horizons Are Associated With Preferences for Helping Colleagues,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
68,0.35886439,,126.0,0.0559926,,103.0,10.1177/0956797616669947,Geoffrey R. O. Durso; Pablo Briñol; Richard E. Petty,From Power to Inaction,Psychological Science,27.0,12,1660,2016.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Ambivalence gives pause to the powerful,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797616669947"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Durso G. <i>et al.</i> <i>Psychological Science</i> 2016</a>"
69,0.96573417,,60.0,0.72140332,,39.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Aptness and conventionality in metaphor comprehension,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
70,0.29009809,,155.0,0.04915287,,90.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Are older adults more willing to donate?,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
71,0.25200623,d,16.0,0.29011015,d,39.0,10.1177/0956797616630964,Viola S. Störmer; George A. Alvarez,Attention Alters Perceived Attractiveness,Psychological Science,27.0,4,563,2016.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Attention alters perceived attractiveness,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797616630964"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Störmer V. <i>et al.</i> <i>Psychological Science</i> 2016</a>"
