"description","tags","osf_link","result","ref_original","ref_replication"
"Color red increases attractiveness ratings","CREP","https://www.osf.io/dqv9y","Failure","Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier, M. A., & Lu, H. (2010). Red, rank, and romance in women viewing men. Journal of Experimental Psychology: General, 139(3), 399–417. DOI:  a0019689","Banas, K. (2014, June 17). Replication of Elliot et al.  (2010) for CREP at the University of Edinburgh."
"Syntax-induced pattern deafness","","https://osf.io/xwn9m/","OS not significant","Endress, A. D., & Hauser, M. D. (2009). Syntax-induced pattern deafness. Proceedings of the National Academy of Sciences, 106(49), 21001-21006.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"People who score low in need for cognition (NFC) are more likely to be influenced by the self-generated anchor → negative correlation between these variables","adjustment, anchor, anchoring, anchoring effect, Epley, experimenter-provided, Gilovich, replication, self-generated","https://www.osf.io/fmd75","Failure","Epley, N., & Gilovich, T. (2006). The anchoring-and-adjustment heuristic: Why the adjustments are insufficient. Psychological science, 17(4), 311-318. Study 2a","Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S., Bickenbach, S., Bühler, R., … Ponader, S. (2023, July 11). Results Report: Replication of Epley and Gilovich  (2006, Study 2a)."
"Cognitive busyness makes for fewer distance from anchor for self-generated anchors but not experimenter-provided anchors","adjustment, anchor, anchoring, anchoring effect, Epley, experimenter-provided, Gilovich, replication, self-generated","https://www.osf.io/q6tv8","Failure","Epley, N., & Gilovich, T. (2006). The anchoring-and-adjustment heuristic: Why the adjustments are insufficient. Psychological science, 17(4), 311-318. Study 2c","Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S., Bickenbach, S., Bühler, R., … Ponader, S. (2023, July 11). Results Report: Replication of Epley and Gilovich  (2006, Study 2c)."
"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.","Adult, Female, Humans, Interpersonal Relations, Loneliness, Male, Motivation, Object Attachment, Questionnaires, Religion and Psychology, Social Behavior","https://osf.io/yuybh/","OS not significant","Epley, N., Akalis, S., Waytz, A., & Cacioppo, J.T. (2008). Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, Gods and greyhounds. Psychological Science, 19(2), 114–120.","Dunn, E. W., & Sandstrom, G. M. (2023, September 28). Replication of Epley, Akalis, Waytz & Cacioppo (2008, PS, Study 3). Retrieved from osf.io/yuybh"
"Poignancy: Mixed emotional experience in the face of meaningful endings.","Adult, Age Factors, Aged, Aging [psychology], Analysis of Variance, Emotions, Female, Human Development, Humans, Imagination, Male, United States","https://osf.io/sq8k9/","Failure","Ersner-Hershfield, H. H., Mikels, J. A., Sullivan, S. J., & Carstensen, L. L. (2008). Poignancy: mixed emotional experience in the face of meaningful endings. Journal of Personality and Social Psychology, 94(1), 158-167.","Talhelm, T., Eggleston, C., & Lee, M. (2023, September 28). Replication of Ersner-Hershfield et al. (2008, JPSP, Study 2). Retrieved from osf.io/sq8k9"
"Gustatory disgust triggers a heightened sense of moral wrongness: Bitter vs. Sweet","moral, disgust","https://osf.io/5ygsp/","Failure","Eskine KJ, Kacinik NA, Prinz JJ (2011). “A Bad Taste in the Mouth: Gustatory Disgust Influences Moral Judgment.”  _Psychological Science_, *22*(3), 295–299. ISSN 1467-9280,  <>, <>.","Ghelfi E, Christopherson CD, Urry HL, Lenne RL, Legate N, Ann Fischer M, Wagemans FMA, Wiggins B, Barrett T,  Bornstein M, de Haan B, Guberman J, Issa N, Kim J, Na E, O’Brien J, Paulk A, Peck T, Sashihara M, Sheelar K, Song  J, Steinberg H, Sullivan D (2020). “Reexamining the Effect of Gustatory Disgust on Moral Judgment: A Multilab  Direct Replication of Eskine, Kacinik, and Prinz (2011).” _Advances in Methods and Practices in Psychological  Science_, *3*(1), 3–23. ISSN 2515-2467,  <>,  <>."
"Gustatory disgust triggers a heightened sense of moral wrongness: Bitter vs. Control","moral, disgust","https://osf.io/5ygsp/","Failure","Eskine KJ, Kacinik NA, Prinz JJ (2011). “A Bad Taste in the Mouth: Gustatory Disgust Influences Moral Judgment.”  _Psychological Science_, *22*(3), 295–299. ISSN 1467-9280,  <>, <>.","Ghelfi E, Christopherson CD, Urry HL, Lenne RL, Legate N, Ann Fischer M, Wagemans FMA, Wiggins B, Barrett T,  Bornstein M, de Haan B, Guberman J, Issa N, Kim J, Na E, O’Brien J, Paulk A, Peck T, Sashihara M, Sheelar K, Song  J, Steinberg H, Sullivan D (2020). “Reexamining the Effect of Gustatory Disgust on Moral Judgment: A Multilab  Direct Replication of Eskine, Kacinik, and Prinz (2011).” _Advances in Methods and Practices in Psychological  Science_, *3*(1), 3–23. ISSN 2515-2467,  <>,  <>."
"People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure.","goal conflict, time allocation, work/leisure, justification, scarcity, productivity","https://researchbox.org/213","Success","Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736.  Study 1a","Simmons, J. &. Nelson, L.D. (2021, May 4). [97] Data Replicada #10: Does Goal Conflict Affect Time Spent on Work and Leisure? Data Colada. (Replication 2 Effect 2)"
"People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure.","goal conflict, time allocation, work/leisure, justification, scarcity, productivity","https://researchbox.org/213","Failure","Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736.  Study 1a","Simmons, J. &. Nelson, L.D. (2021, May 4). [97] Data Replicada #10: Does Goal Conflict Affect Time Spent on Work and Leisure? Data Colada. (Replication 2 Effect 1)"
"People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure.","goal conflict, time allocation, work/leisure, justification, scarcity, productivity","https://researchbox.org/213","Success","Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736.  Study 1a","Simmons, J. &. Nelson, L.D. (2021, May 4). [97] Data Replicada #10: Does Goal Conflict Affect Time Spent on Work and Leisure? Data Colada. (Replication 1 Effect 2)"
"People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure.","goal conflict, time allocation, work/leisure, justification, scarcity, productivity","https://researchbox.org/213","Failure","Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736.  Study 1a","Simmons, J. &. Nelson, L.D. (2021, May 4). [97] Data Replicada #10: Does Goal Conflict Affect Time Spent on Work and Leisure? Data Colada. (Replication 1 Effect 1)"
"Seeing one's own capability for wrongdoing predicts forgiveness","","https://osf.io/xwn9m/","Success","Exline, J. J., Baumeister, R. F., Zell, A. L., Kraft, A. J., & Witvliet, C. V. (2008). Not so innocent: Does seeing one's own capability for wrongdoing predict forgiveness?. Journal of Personality and Social Psychology, 94(3), 495.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.","Association Learning, Attention, Discrimination Learning, Humans, Memory, Short-Term, Pattern Recognition, Visual, Reading, Serial Learning, Speech Perception, Time Perception","https://osf.io/swrhy/","Success","Farrell, S. (2008). Multiple roles for time in short-term memory: Evidence from serial recall of order and timing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 128.","Olsson, C., & Saxe, R. (2023, September 28). Replication of Farrell (2008, JEP:LMC, Study 2). Retrieved from osf.io/swrhy"
"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent","Adult, Decision Making, Female, Humans, Intention, Male, Models, Psychological, Pilot Projects, Sex Factors, Sexual Behavior, Social Perception","https://osf.io/7dyp5/","Failure","Farris, C., Treat, T.A., Viken, R.J., & McFall, R.M. (2008). Perceptual mechanisms that characterize gender differences in decoding women's sexual intent. Psychological Science, 19(4), 348-354.","Attwood, A. S., Andy, Easey, K., Penton-Voak, I., & Munafo, M. R. (2016, August 19). Replication of C Farris, TA Treat, RJ Viken, and RM McFall (2008, PS 19(4)). Retrieved from osf.io/7dyp5"
"moral roots of environmental attitudes","","https://osf.io/xwn9m/","Success","Feinberg, M., & Willer, R. (2013). The moral roots of environmental attitudes. Psychological science, 24(1), 56-62.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"The ultimate sampling dilemma in experience-based decision making.","Adult, Bias (Epidemiology), Choice Behavior, Cognition, Computer Simulation, Decision Making, Decision Theory, Feedback, Psychological, Female, Humans, Judgment, Male","https://osf.io/hp27x/","OS not significant","Fiedler, K. (2008). The ultimate sampling dilemma in experience-based decision making. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 186.","Glöckner, A., & Jekel, M. (2023, September 28). Replication of K Fiedler (2008, JEPLMC, Exp 2). Retrieved from osf.io/hp27x"
"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.","Adolescent, Adult, Cognition [physiology], Decision Making [physiology], Ego, Female, Humans, Internal-External Control, Male, Middle Aged, Motivation, Self Concept, Students [psychology]","https://osf.io/j8bpa/","OS not significant","Fischer, P., Greitemeyer, T., & Frey, D. (2008). Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing. Journal of Personality and Social Psychology, 94(3), 382-395.","Galliani, E. M. (2023, September 28). Replication of Fischer, Greitemeyer, & Frey (2008, JPSP, Study 2). Retrieved from osf.io/j8bpa"
"information quantities moderate decision makers' preference for consistent and inconsistent information","","https://osf.io/xwn9m/","Failure","Fischer, P., Schulz-Hardt, S., & Frey, D. (2008). Selective exposure and information quantity: how different information quantities moderate decision makers' preference for consistent and inconsistent information. Journal of personality and social psychology, 94(2), 231.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field","Adolescent, Adult, Attention, Discrimination Learning, Eye Movements, Female, Fixation, Ocular, Humans, Male, Orientation, Probability, Psychomotor Performance, Reaction Time, Semantics, Visual Fields","https://osf.io/tf8ky/","Failure","Forti, S., & Humphreys, G.W. (2008). Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field. Psychological Science, 19(1), 42-48.","Dorrough, A. R., & Fiedler, S. (2023, September 28). Replication of S Forti, GW Humphreys (2008, PS 19(1)). Retrieved from osf.io/tf8ky"
"Underestimating calorie content when healthy foods are present: an averaging effect or a reference-dependent anchoring effect","","https://osf.io/xwn9m/","Success","Forwood, S. E., Ahern, A., Hollands, G. J., Fletcher, P. C., & Marteau, T. M. (2013). Underestimating calorie content when healthy foods are present: an averaging effect or a reference-dependent anchoring effect?. Plos one, 8(8), e71475.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Metamers of the ventral stream","","https://osf.io/xwn9m/","OS not significant","Freeman, J., & Simoncelli, E. P. (2011). Metamers of the ventral stream. Nature neuroscience, 14(9), 1195-1201.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"The effect of global versus local processing styles on assimilation versus contrast in social judgment.","Association Learning, Attention, Concept Formation, Dominance, Cerebral, Female, Field Dependence-Independence, Generalization (Psychology), Gestalt Theory, Humans, Judgment, Male, Pattern Recognition, Visual, Psychomotor Performance, Self Concept, Social Identification, Social Perception, Time Perception","https://osf.io/mxryb/","Failure","Förster, J., Liberman, N., & Kuschel, S. (2008). The effect of global versus local processing styles on assimilation versus contrast in social judgment. Journal of Personality and Social Psychology, 94, 579-599.","Reinhard, D. A. (2023, September 28). Replication of J Förster, N Liberman, & S Kuschel (2008, JPSP, Study 1). Retrieved from osf.io/mxryb"
"Across-notation automatic numerical processing.","Association Learning, Attention, Automatism [psychology], Comprehension, Discrimination (Psychology), Humans, Multilingualism, Paired-Associate Learning, Pattern Recognition, Visual, Problem Solving, Psychophysics, Reaction Time, Size Perception","https://osf.io/vmipw/","Success","Ganor-Stern, D., & Tzelgov, J. (2008). Across-notation automatic numerical processing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 430-437.","Shaki, S. (2023, September 28). Replication of D Ganor-Stern, J Tzelgov (2008, JEPLMC 34(2), Exp. 2). Retrieved from osf.io/vmipw"
"Perceiving economic inequality in everyday life decreases tolerance to inequality","","https://osf.io/xwn9m/","Success","García-Castro, J. D., Rodríguez-Bailón, R., & Willis, G. B. (2020). Perceiving economic inequality in everyday life decreases tolerance to inequality. Journal of Experimental Social Psychology, 90, 104019.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Need for Cognition moderates the effect of affective expectations on experience (no expectations and NFC)","affective expectations, assimilation and contrast, need for cognition","https://osf.io/rge23/","OS not significant","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Need for Cognition moderates the effect of affective expectations on experience (negative expectations and NFC)","affective expectations, assimilation and contrast, need for cognition","https://osf.io/rge23/","OS not significant","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Need for Cognition moderates the effect of affective expectations on experience (positive expectations and NFC)","affective expectations, assimilation and contrast, need for cognition","https://osf.io/rge23/","OS not significant","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Need for Cognition moderates the effect of affective expectations on experience (interaction effect)","affective expectations, assimilation and contrast, need for cognition","https://osf.io/rge23/","Failure","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Analytic thinking promotes religious disbelief","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Failure","Gervais, W. M., & Norenzayan, A. (2012). Analytic thinking promotes religious disbelief. Science, 336(6080), 493-496.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Schema induction and analogical transfer","","https://osf.io/xwn9m/","Success","Gick, M. L., & Holyoak, K. J. (1983). Schema induction and analogical transfer. Cognitive psychology, 15(1), 1-38.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Vertical position and power","Many Labs 2","https://osf.io/8cd4r/","Failure","Giessner, S. R., & Schubert, T. W. (2007). High in the hierarchy: How vertical location and judgments of leaders’ power are interrelated. Organizational Behavior and Human Decision Processes, 104, 30–44.  .obhdp.2006. Study 1a","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.","computer-mediated communication, impression formation, warmth, competence,","https://osf.io/n7yc4/","Success","Glikson, E., Cheshin, A., & Kleef, G. A. V. (2018). The dark side of a smiley: Effects of smiling emoticons on virtual first impressions. Social Psychological and Personality Science, 9(5), 614-625.","Lai, L., & Mayiwar, L. (2023). The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley.” Collabra: Psychology, 9(1)."
"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.","computer-mediated communication, impression formation, warmth, competence,","https://osf.io/n7yc4/","Failure","Glikson, E., Cheshin, A., & Kleef, G. A. V. (2018). The dark side of a smiley: Effects of smiling emoticons on virtual first impressions. Social Psychological and Personality Science, 9(5), 614-625.","Lai, L., & Mayiwar, L. (2023). The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley.” Collabra: Psychology, 9(1)."
"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.","computer-mediated communication, impression formation, warmth, competence,","https://osf.io/n7yc4/","Failure","Glikson, E., Cheshin, A., & Kleef, G. A. V. (2018). The dark side of a smiley: Effects of smiling emoticons on virtual first impressions. Social Psychological and Personality Science, 9(5), 614-625. , Study 3.","Lai, L., & Mayiwar, L. (2023). The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley.” Collabra: Psychology, 9(1)."
"Avoiding overhead aversion in charity","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Success","Gneezy, U., Keenan, E. A., & Gneezy, A. (2014). Avoiding overhead aversion in charity. Science, 346(6209), 632-635.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Are older adults more willing to donate?","","https://osf.io/xwn9m/","Failure","Gong, X., Zhang, F., & Fung, H. H. (2019). Are older adults more willing to donate? The roles of donation form and social relationship. The Journals of Gerontology: Series B, 74(3), 440-448.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Moral foundations of liberals versus conservatives","Many Labs 2","https://osf.io/8cd4r/","Success","Graham, J., Haidt, J., & Nosek, B. A. (2009). Liberals andconservatives rely on different sets of moral foundations Journal of Personality and Social Psychology, 96, 1029– 1046.  Study 1","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"binge-enjoy","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"autonomy-enjoy","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"guilt-enjoy","binge-watching; self-determination theory; media psychology; well-being","","OS not significant","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"binge-vitality","binge-watching; self-determination theory; media psychology; well-being","","OS not significant","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"autonomy-vitality","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"guilt-vitality","binge-watching; self-determination theory; media psychology; well-being","","Failure","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"binge-recovery","binge-watching; self-determination theory; media psychology; well-being","","OS not significant","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"autonomy-recovery","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"guilt-recovery","binge-watching; self-determination theory; media psychology; well-being","","Failure","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"goal conflict-guilt","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"binge-autonomy","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"binge-goal conflict","binge-watching; self-determination theory; media psychology; well-being","","Success","Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Erdmann, E., & Dienlin, T. (2022). Binge-watching, self-determination, and well-being: A partially successful direct replication and extension of Granow et al. (2018). Journal of Media Psychology, 1864-1105/a000334."
"Mind perception","","https://osf.io/xwn9m/","Success","Gray, H. M., Gray, K., & Wegner, D. M. (2007). Dimensions of mind perception. science, 315(5812), 619-619.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Moral typecasting","Many Labs 2","https://osf.io/8cd4r/","Success","Gray, K., & Wegner, D. M. (2009). Moral typecasting: Divergent perceptions of moral agents and moral patients. Journal of Personality and Social Psychology, 96, 505–520.  Study 1a","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Opportunity cost neglect attenuates the effect of choices on preferences","","https://osf.io/xwn9m/","Failure","Greenberg, A. E., & Spiller, S. A. (2016). Opportunity cost neglect attenuates the effect of choices on preferences. Psychological science, 27(1), 103-113.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Cognitive load selectively interferes with utilitarian moral judgment","","https://osf.io/xwn9m/","Failure","Greene, J. D., Morelli, S. A., Lowenberg, K., Nystrom, L. E., & Cohen, J. D. (2008). Cognitive load selectively interferes with utilitarian moral judgment. Cognition, 107(3), 1144-1154.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"H2: The mean moral acceptability ratings will be higher in the speedboat accelerate condition when compared to the speedboat oar condition.","moral dilemmas, moral acceptability, personal force, physical contact,","https://osf.io/47msh/","Success","Greene, J.D., Cushman, F.A., Stewart, L E., Lowenberg, K., Nystrom, L.E., & Cohen, J.D. (2009). Pushing moral buttons: The interaction between personal force and intention in moral judgment. Cognition, 111(3), 364–371.","Lynds, T. M., & Mackinnon, S. P. (2024, August 11). Effects of personal force and physical contact on moral decision-making: A replication."
"H1: The mean moral acceptability ratings will be higher in the footbridge switch condition when compared to the footbridge pole condition.","moral dilemmas, moral acceptability, personal force, physical contact,","https://osf.io/47msh/","Success","Greene, J.D., Cushman, F.A., Stewart, L E., Lowenberg, K., Nystrom, L.E., & Cohen, J.D. (2009). Pushing moral buttons: The interaction between personal force and intention in moral judgment. Cognition, 111(3), 364–371.","Lynds, T. M., & Mackinnon, S. P. (2024, August 11). Effects of personal force and physical contact on moral decision-making: A replication."
"High (vs. low) saturation increases arousal","Sensory Marketing","https://osf.io/tnmvq/","Success","Hagtvedt, H., and Brasel, S. A. (2017). Color Saturation Increases Perceived Product Size. J. Consum. Res. 44, 396–413. doi:  Study 3","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"High (vs. low) saturation increases attention","Sensory Marketing","https://osf.io/tnmvq/","Success","Hagtvedt, H., and Brasel, S. A. (2017). Color Saturation Increases Perceived Product Size. J. Consum. Res. 44, 396–413. doi:  Study 3","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
