description,result,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_url
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #6: CD24 expression between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #7: CD29 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #8: CD29 expression between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #9: CD29 expression between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #10: CD44 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #11: CD44 expression between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #12: CD44 expression between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #13: CD166 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #14: CD166 expression between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #15: CD166 expression between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #16: Clonogenic frequency between TOP-GFPlow vs TOP-GFPhigh (450 culture),failure,18.0,0.9505299,w,"[0.9347403, 0.962573]",1.2899999999999999e-39,chi-squared,,18,0.4552718,w,"[0.335279, 0.5607297]",2.82e-10,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #17: Clonogenic frequency between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),failure,18.0,0.9505299,w,"[0.9347403, 0.962573]",1.2899999999999999e-39,chi-squared,,18,0.1584204,w,"[0.01719788, 0.29344561]",0.02815377,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #18: Clonogenic frequency between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),failure,18.0,0.9505299,w,"[0.9347403, 0.962573]",1.2899999999999999e-39,chi-squared,,18,0.1988645,w,"[0.05891533, 0.33114741]",0.005859398,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #19: Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + HGF (450 culture),failure,18.0,0.7710575,w,"[0.7066017, 0.8228232]",1.21e-26,chi-squared,,18,0.08796912,w,"[-0.0543158, 0.2267527]",0.2228685,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #20: Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + HGF (CSC1 culture),failure,18.0,0.7710575,w,"[0.7066017, 0.8228232]",1.21e-26,chi-squared,,18,0.0418753,w,"[-0.1003279, 0.182402]",0.561752,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #21: Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + HGF (Co100 culture),failure,18.0,0.7710575,w,"[0.7066017, 0.8228232]",1.21e-26,chi-squared,,18,0.256976,w,"[0.1197244, 0.3845891]",0.0003697778,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #22: Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (450 culture),failure,18.0,0.7281706,w,"[0.6539994, 0.7884753]",6.13e-24,chi-squared,,18,0.1010307,w,"[-0.0411666, 0.2392165]",0.1615367,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #23: Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (CSC1 culture),failure,18.0,0.7281706,w,"[0.6539994, 0.7884753]",6.13e-24,chi-squared,,18,0.1475765,w,"[0.006095581, 0.283265095]",0.04086671,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #24: Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (Co100 culture),failure,18.0,0.7281706,w,"[0.6539994, 0.7884753]",6.13e-24,chi-squared,,18,0.3869178,w,"[0.2595293, 0.501072]",8.26e-08,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #25: Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (450 culture),failure,18.0,0.8932464,w,"[0.8604814, 0.9186533]",3.4700000000000003e-35,chi-squared,,18,0.04427603,w,"[-0.09794637, 0.18472612]",0.5395414,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #26: Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (CSC1 culture),failure,18.0,0.8932464,w,"[0.8604814, 0.9186533]",3.4700000000000003e-35,chi-squared,,18,0.4205246,w,"[0.2965775, 0.5305394]",5.64e-09,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #27: Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (Co100 culture),failure,18.0,0.8932464,w,"[0.8604814, 0.9186533]",3.4700000000000003e-35,chi-squared,,18,0.1634463,w,"[0.02235546, 0.29815375]",0.02352626,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #28: Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (450 culture),failure,18.0,0.9838607,w,"[0.9785927, 0.9878403]",2.56e-42,chi-squared,,18,0.5636529,w,"[0.4586533, 0.6531297]",5.71e-15,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #29: Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (CSC1 culture),failure,18.0,0.9838607,w,"[0.9785927, 0.9878403]",2.56e-42,chi-squared,,18,0.4762394,w,"[0.3588305, 0.5788129]",4.14e-11,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #30: Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (Co100 culture),failure,18.0,0.9838607,w,"[0.9785927, 0.9878403]",2.56e-42,chi-squared,,18,0.3030889,w,"[0.1687222, 0.4263963]",2.67e-05,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #31: Clonogenic frequency between TOP-GFPwhole vs TOP-GFPwhole + PHA (450 culture),reversal,18.0,0.03325293,w,"[-0.108868, 0.1740417]",0.6449664,chi-squared,,18,-0.5962971,w,"[-0.6804479, -0.496624]",1.43e-16,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #32: Clonogenic frequency between TOP-GFPwhole vs TOP-GFPwhole + PHA (CSC1 culture),failure,18.0,0.03325293,w,"[-0.108868, 0.1740417]",0.6449664,chi-squared,,18,0.6131651,w,"[0.516395, 0.6944728]",1.96e-17,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #33: Clonogenic frequency between TOP-GFPwhole vs TOP-GFPwhole + PHA (Co100 culture),reversal,18.0,0.03325293,w,"[-0.108868, 0.1740417]",0.6449664,chi-squared,,18,-0.3245137,w,"[-0.445643, -0.1917155]",6.91e-06,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #34: Tumorigenicity frequency between TOP-GFPlow vs TOP-GFPhigh (450 culture),failure,7.0,0.999,w,"[0.9981275, 0.9994661]",6.93e-16,chi-squared,,8,-0.0511812,w,"[-0.3928639, 0.3029188]",0.77218,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #35: Tumorigenicity frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (450 culture),failure,8.0,0.7359363,w,"[0.5712537, 0.8436579]",3.42e-07,chi-squared,,8,0.3219337,w,"[-0.03014416, 0.60294343]",0.06858681,chi-squared,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether the kinase COT causes resistance to RAF inhibitors by reactivating the MAPK signaling pathway. Subexperiment #1: IC50 values of A375 cells vs HT29/OUMS-23 cells,inconclusive,,,d,,,,,6,4.816496,d,"[1.214733, 8.364609]",0.004131484,t,,https://doi.org/10.1038/nature09627,Cory M. Johannessen; Jesse S. Boehm; So Young Kim; Sapana Thomas; Leslie Wardwell; Laura A. Johnson; W. Marston Linehan; Nicolas Stransky; Alexandria P. Cogdill; Jordi Barretina; Giordano Caponigro; Haley Hieronymus; Ryan R. Murray; Kourosh Salehi‐Ashtiani; David E. Hill; Marc Vidal; Jean J. Zhao; Xiaoping Yang; Ozan Alkan; Sung Joon Kim; Jennifer L. Harris; Christopher J. Wilson; Vic E. Myer; Peter M. Finan; David E. Root; Thomas M. Roberts; Todd R. Golub; Keith T. Flaherty; Reinhard Dummer; Barbara L. Weber; William R. Sellers; Robert Schlegel; Jennifer A. Wargo; William C. Hahn; Levi A. Garraway,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Nature,468,7326.0,968,2010,https://doi.org/10.7554/eLife.11414
This study tested whether the kinase COT causes resistance to RAF inhibitors by reactivating the MAPK signaling pathway. Subexperiment #2: IC50 values of A375 cells vs RPMI-7951 cells,inconclusive,,,,,,,,6,,,,,,,https://doi.org/10.1038/nature09627,Cory M. Johannessen; Jesse S. Boehm; So Young Kim; Sapana Thomas; Leslie Wardwell; Laura A. Johnson; W. Marston Linehan; Nicolas Stransky; Alexandria P. Cogdill; Jordi Barretina; Giordano Caponigro; Haley Hieronymus; Ryan R. Murray; Kourosh Salehi‐Ashtiani; David E. Hill; Marc Vidal; Jean J. Zhao; Xiaoping Yang; Ozan Alkan; Sung Joon Kim; Jennifer L. Harris; Christopher J. Wilson; Vic E. Myer; Peter M. Finan; David E. Root; Thomas M. Roberts; Todd R. Golub; Keith T. Flaherty; Reinhard Dummer; Barbara L. Weber; William R. Sellers; Robert Schlegel; Jennifer A. Wargo; William C. Hahn; Levi A. Garraway,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Nature,468,7326.0,968,2010,https://doi.org/10.7554/eLife.11414
This study tested whether the kinase COT causes resistance to RAF inhibitors by reactivating the MAPK signaling pathway. Subexperiment #3: pMEK levels in RPMI-7951 cells treated with MAP3K8 inhibitor (20 uM) compared to DMSO (mu=1),inconclusive,,,d,,,,,8,-1.000118,d,"[-1.8405397, -0.1155457]",0.02545134,t,,https://doi.org/10.1038/nature09627,Cory M. Johannessen; Jesse S. Boehm; So Young Kim; Sapana Thomas; Leslie Wardwell; Laura A. Johnson; W. Marston Linehan; Nicolas Stransky; Alexandria P. Cogdill; Jordi Barretina; Giordano Caponigro; Haley Hieronymus; Ryan R. Murray; Kourosh Salehi‐Ashtiani; David E. Hill; Marc Vidal; Jean J. Zhao; Xiaoping Yang; Ozan Alkan; Sung Joon Kim; Jennifer L. Harris; Christopher J. Wilson; Vic E. Myer; Peter M. Finan; David E. Root; Thomas M. Roberts; Todd R. Golub; Keith T. Flaherty; Reinhard Dummer; Barbara L. Weber; William R. Sellers; Robert Schlegel; Jennifer A. Wargo; William C. Hahn; Levi A. Garraway,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Nature,468,7326.0,968,2010,https://doi.org/10.7554/eLife.11414
