replication_doi,replication_url,replication_title,replication_journal,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,replication_type,discipline,subdiscipline,justification,confidence,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails
10.1371/journal.pone.0272434,https://doi.org/10.1371/journal.pone.0272434,,,True,https://doi.org/10.1126/science.1150952,"Dunn, E.; Aknin, L.; Norton, M.",Spending money on others promotes happiness,Science,319,5870,1687-1688,2008,Spending money on others (prosocial spending) increases happiness more than spending money on oneself,inconclusive,very close,psychology,social psychology,,high,46,,,,0.042,=,,133,0.001,etasq,,0.557,=,
10.1371/journal.pone.0284404,https://doi.org/10.1371/journal.pone.0284404,,,True,https://doi.org/10.1016/j.cellimm.2012.07.009,"Guo, X.; Zhang, Y.; Wang, P.; Li, T.; Fu, W.; Mo, X.","VSTM1-v2, a novel soluble glycoprotein, promotes the differentiation and activation of Th17 cells",Cell Immunol,278,1-2,136-142,2012,VSTM1-v2 induces Th17 cell differentiation and activation in CD4+ T cells stimulated with anti-CD3/CD28 and Th17 polarizing cytokines,failure,very close,biology,immunology,,high,,,,,,,,,,,,,,
10.1371/journal.pone.0300727,https://doi.org/10.1371/journal.pone.0300727,,,True,https://doi.org/10.1073/pnas.1419828112,"Epstein, R.; Robertson, R.",The search engine manipulation effect (SEME) and its possible impact on the outcomes of elections,Proc Natl Acad Sci,112,33,4512-4521,2015,Biased search engine results can shift people's opinions and voting preferences on artificial intelligence,success,very close,psychology,social psychology,,high,,,,,,,,378,,,,0.001,<,
10.1371/journal.pone.0300727,https://doi.org/10.1371/journal.pone.0300727,,,True,https://doi.org/10.1073/pnas.1419828112,"Epstein, R.; Robertson, R.",The search engine manipulation effect (SEME) and its possible impact on the outcomes of elections,Proc Natl Acad Sci,112,33,4512-4521,2015,Biased search engine results can shift people's opinions and voting preferences on fracking,success,very close,psychology,social psychology,,high,,,,,,,,394,,,,0.001,<,
10.1371/journal.pone.0300727,https://doi.org/10.1371/journal.pone.0300727,,,True,https://doi.org/10.1073/pnas.1419828112,"Epstein, R.; Robertson, R.",The search engine manipulation effect (SEME) and its possible impact on the outcomes of elections,Proc Natl Acad Sci,112,33,4512-4521,2015,Biased search engine results can shift people's opinions and voting preferences on sexual orientation,success,very close,psychology,social psychology,,high,,,,,,,,365,,,,0.001,<,
10.1371/journal.pone.0326446,https://doi.org/10.1371/journal.pone.0326446,,,True,https://doi.org/10.1037/a0035826,"Holbrook, Colin; Galperin, Andrew; Fessler, Daniel M. T.; Johnson, Kathryn L.; Bryant, Gregory A.; Haselton, Martie G.",If looks could kill: anger attributions are intensified by affordances for doing harm,Emotion,14,3,455-461,2014,"Individuals holding everyday objects with potentially lethal affordances (e.g., kitchen knives) are perceived as higher in state anger, trait anger, and trait unpleasantness compared to individuals holding or near non-lethal control objects",success,direct,psychology,social psychology,,high,264,,,,,,,476,0.34,d,,0.001,<,
10.3109/02699206.2012.744097,https://doi.org/10.3109/02699206.2012.744097,,,True,https://doi.org/10.3109/02699206.2012.736011,"Peter, B.; Button, L.; Stoel-Gammon, C.; Chapman, K.; Raskind, W.",Deficits in sequential processing manifest in motor and linguistic tasks in a multigenerational family with childhood apraxia of speech,Linguistics and Phonetics,27,3,163,2013,Individuals with familial childhood apraxia of speech show sequential processing deficits not only in motor speech tasks but also in linguistic tasks requiring high sequential processing loads,success,very close,linguistics,phonetics and phonology,,high,,,,,,,,21,,,,,,
10.3389/fnhum.2021.680885,https://doi.org/10.3389/fnhum.2021.680885,,,True,https://doi.org/10.1162/jocn.2008.21154,"Mager, R.; Meuth, S.; Krauchi, K.; Schmidlin, M.; Muller-Spahn, F.; Falkenstein, M.",Mismatch and conflict: neurophysiological and behavioral evidence for conflict priming,J. Cogn. Neurosci,21,,2185-2194,2009,"Deviant auditory tones reverse the Stroop congruency effect, causing faster responses to incongruent compared to congruent Stroop stimuli (conflict priming)",failure,direct,psychology,cognitive psychology,,high,,,,,,,,36,,,,,,
10.3389/fpsyg.2016.01977,https://doi.org/10.3389/fpsyg.2016.01977,,,True,https://doi.org/10.1037/a0019902,"Butler, A.",Repeated testing produces superior transfer of learning relative to repeated studying,J. Exp. Psychol,5,,1118-1133,2010,Retrieval practice (cued recall with feedback) enhances far transfer to a different knowledge domain compared to rereading,success,direct,psychology,cognitive psychology,,high,20,1.17,d,,,,,56,0.97,d,,0.001,<,
10.3389/fpsyg.2017.02024,https://doi.org/10.3389/fpsyg.2017.02024,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fpsyg.2018.00996,https://doi.org/10.3389/fpsyg.2018.00996,,,True,https://doi.org/10.7334/psicothema2016.24,"Badenes-Ribera, L.; Frias-Navarro, D.; Pascual-Soler, M.; Monterde-I-Bort, H.","Level of knowledge of the effect size statistics, confidence interval and meta-analysis in Spanish academic psychologists",Psicothema,26,,448-456,2016,"Academic psychologists have poor knowledge about effect size statistics, confidence intervals, and graphic displays for meta-analyses; although the use of effect size is becoming generalized, the same is not true for confidence intervals; academics with greater knowledge about effect size statistics present a profile closer to good statistical practice and research design",success,direct,psychology,other,,high,472,,,,,,,159,,,,,,
10.3389/fpsyg.2019.00738,https://doi.org/10.3389/fpsyg.2019.00738,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fpsyg.2019.01601,https://doi.org/10.3389/fpsyg.2019.01601,,,True,https://doi.org/10.1080/07481187.2016.1186761,"Till, B.; Truong, F.; Mar, R.; Niederkrotenthaler, T.",Blurred world view: a study on the relationship between television viewing and the perception of the justice system,Death Stud,40,,538-546,2016,Weekly television viewing is positively associated with the erroneous belief that Austria still practices or recently practiced the death penalty,failure,very close,psychology,social psychology,,high,322,0.19,r,"[0.10, 0.29]",0.01,<,,597,,,,,,
10.3389/fpsyg.2021.626087,https://doi.org/10.3389/fpsyg.2021.626087,,,True,https://doi.org/10.1111/j.1467-9280.2008.02187.x,"Bernstein, M.; Young, S.; Brown, C.; Sacco, D.; Claypool, H.",Adaptive responses to social exclusion: social rejection improves detection of real and fake smiles,Psychological Science,19,,981-983,2008,Social exclusion enhances the ability to correctly distinguish between real (Duchenne) and fake (non-Duchenne) smiles,inconclusive,direct,psychology,social psychology,,high,32,1.25,d,,0.009,=,,201,0.33,d,,0.070,=,
10.3758/s13414-019-01715-6,https://doi.org/10.3758/s13414-019-01715-6,,,True,https://doi.org/10.1016/j.cognition.2013.02.010,"Sato, A.; Itakura, S.",Intersubjective action-effect binding: Eye contact modulates acquisition of bidirectional association between our and others' actions,Cognition,127,,383-390,2013,Eye contact during action-effect learning facilitates the acquisition of bidirectional associations between key presses and social action effects (mouth gestures of an on-screen face),failure,direct,psychology,cognitive psychology,,high,22,1.00,d,,,,,72,0.02,d,"[-0.21, 0.25]",,,
10.3758/s13414-022-02459-6,https://doi.org/10.3758/s13414-022-02459-6,,,True,https://doi.org/10.1037//0096-3445.123.2.161,"Egly, R.; Driver, J.; Rafal, R.",Shifting visual attention between objects and locations: Evidence from normal and parietal lesion subjects,Journal of Experimental Psychology: General,123,2,161-177,1994,"In the two-rectangles paradigm, response times are faster for targets appearing at the uncued end of the same rectangle as the cue (invalid-same) compared to targets appearing on a different rectangle (invalid-different), demonstrating object-based attention",success,direct,psychology,cognitive psychology,,high,,,,,,,,264,,,,0.01,<,
10.3758/s13415-022-00983-4,https://doi.org/10.3758/s13415-022-00983-4,,,True,https://doi.org/10.1016/j.brainres.2014.02.002,"Grunwald, M.; Weiss, T.; Mueller, S.; Rall, L.",EEG changes caused by spontaneous facial self-touch may represent emotion regulating processes and working memory maintenance,"Brain Cognitive, Affective, & Behavioral Neuroscience",22,,111-126,2014,"Spontaneous facial self-touch is associated with specific EEG spectral power changes (decreased power before touch, increased power after touch) indicating emotion regulation and working memory maintenance processes",success,very close,neuroscience,cognitive neuroscience,,high,14,,,,,,,44,,,,,,
10.3758/s13421-016-0590-2,https://doi.org/10.3758/s13421-016-0590-2,,,True,https://doi.org/10.1037/0278-7393.33.2.342,"Verbruggen, F.; Liefooghe, B.; Vandierendonck, A.; Demanet, J.",Short cue presentations encourage advance task preparation: a recipe to diminish the residual switch cost,"Journal of Experimental Psychology: Learning, Memory",33,,342-356,2007,Brief cue presentation during cue-target interval reduces residual switch costs in cued task switching compared to full cue presentation,failure,direct,psychology,cognitive psychology,,high,37,,,,,,,49,0.48,d,,0.001,=,
10.3758/s13421-019-00968-8,https://doi.org/10.3758/s13421-019-00968-8,,,True,https://doi.org/10.3758/PBR.16.1.139,"Macken, W.; Phelps, F.; Jones, D.",What causes auditory distraction?,Psychonomic Bulletin & Review,16,,139-144,2009,"Individual differences in global pattern matching (passive auditory processing) predict the magnitude of the irrelevant sound effect on serial recall, while deliberate recoding of auditory sequences predicts serial recall performance in silence",failure,very close,psychology,cognitive psychology,,high,32,,,,,,,93,,,,,,
10.3758/s13421-019-00968-8,https://doi.org/10.3758/s13421-019-00968-8,,,True,https://doi.org/10.3758/PBR.16.1.139,"Macken, W.; Phelps, F.; Jones, D.",What causes auditory distraction?,Psychonomic Bulletin & Review,16,,139-144,2009,"Individual differences in global pattern matching (passive auditory processing) predict the magnitude of the irrelevant sound effect on serial recall, while deliberate recoding of auditory sequences predicts serial recall performance in silence",inconclusive,direct,psychology,cognitive psychology,,high,32,,,,,,,69,,,,,,
10.3758/s13421-024-01583-y,https://doi.org/10.3758/s13421-024-01583-y,,,True,https://doi.org/10.1080/14640746808400158,"Rabbitt, P.","Channel-capacity, intelligibility and immediate memory",The Quarterly Journal of Experimental Psychology,20,3,241-248,1968,"When the second half of a spoken passage is presented in background noise, retention of information from the first half of the passage is impaired compared to when the second half is presented in the clear",reversal,direct,psychology,cognitive psychology,,high,124,,,,,,,150,,,,0.04,=,
10.3758/s13421-024-01583-y,https://doi.org/10.3758/s13421-024-01583-y,,,True,https://doi.org/10.1080/14640746808400158,"Rabbitt, P.","Channel-capacity, intelligibility and immediate memory",The Quarterly Journal of Experimental Psychology,20,3,241-248,1968,"When the second half of a spoken passage is presented in background noise, retention of information from the first half of the passage is impaired compared to when the second half is presented in the clear",failure,direct,psychology,cognitive psychology,,high,124,,,,,,,150,,,,0.58,=,
10.3758/s13421-024-01583-y,https://doi.org/10.3758/s13421-024-01583-y,,,True,https://doi.org/10.1080/14640746808400158,"Rabbitt, P.","Channel-capacity, intelligibility and immediate memory",The Quarterly Journal of Experimental Psychology,20,3,241-248,1968,"When the second half of a spoken passage is presented in background noise, retention of information from the first half of the passage is impaired compared to when the second half is presented in the clear",failure,direct,psychology,cognitive psychology,,high,124,,,,,,,150,,,,0.30,=,
10.3758/s13421-024-01637-1,https://doi.org/10.3758/s13421-024-01637-1,,,True,https://doi.org/10.1037/a0015854,"Casasanto, D.",Embodiment of abstract concepts: good and bad in right-and left-handers,Journal of Experimental Psychology: General,138,,351-367,2009,"Right-handed people associate the right side with positive valence and the left side with negative valence, while left-handed people associate the left side with positive valence and the right side with negative valence (body-specificity hypothesis)",success,direct,psychology,social psychology,,high,,,,,,,,2222,2.18,OR,"[1.57, 3.06]",0.004,=,
10.3758/s13428-020-01457-6,https://doi.org/10.3758/s13428-020-01457-6,,,True,https://doi.org/10.1037/0096-1523.18.3.849,"Raymond, J.; Shapiro, K.; Arnell, K.",Temporary suppression of visual processing in an RSVP task: an attentional blink?,Human Perception and Performance,18,3,849-860,1992,"In a rapid serial visual presentation task, the ability to detect a second target (probe) is temporarily suppressed when it appears shortly after identifying a first target, creating an 'attentional blink' effect",success,direct,psychology,cognitive psychology,,high,10,9.49,OR,,,,,98,8.77,OR,,0.001,<,
10.5334/irsp.871,https://doi.org/10.5334/irsp.871,,,True,https://doi.org/10.1177/0146167209351435,"Feygina, I.; Jost, J.; Goldsmith, R.","System justification, the denial of global warming, and the possibility of system-sanctioned change",Personality and Social Psychology Bulletin,36,3,326-338,2010,Framing pro-environmental action as preserving the status quo eliminates the negative association between system justification and pro-environmental behavior,failure,very close,psychology,social psychology,,high,41,,,,0.03,=,two-sided,567,,,,0.670,=,two-sided
10.7717/peerj.5347,https://doi.org/10.7717/peerj.5347,,,True,https://doi.org/10.1007/BF00402312,"Jokiel, P.; Coles, S.",Effects of temperature on the mortality and growth of Hawaiian reef corals,Marine Biology,43,3,201-208,1977,Exposure to temperatures 31°C (approximately 4.6°C above ambient) causes rapid bleaching and mortality in Hawaiian reef corals within 3-30 days,success,direct,biology,ecology,,high,20,,,,,,,60,,,,,,
