replication_doi,replication_url,replication_title,replication_journal,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,replication_type,discipline,subdiscipline,justification,confidence,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,version
10.1016/j.ridd.2011.07.018,https://doi.org/10.1016/j.ridd.2011.07.018,,,True,https://doi.org/10.3104/REPORTS.2059,"Jones, E.; Feeley, K.; Blackburn, C.",A preliminary study of intervention addressing early developing requesting behaviours in young toddlers with Down syndrome,,,,,2010,Teaching infants with Down syndrome to shift gaze and vocalize to request continued social interaction with an object increases requesting behaviors,success,close,psychology,clinical psychology,,high,,,,,,,,4,,,,,,,
10.1016/j.schres.2010.01.028,https://doi.org/10.1016/j.schres.2010.01.028,,,True,https://doi.org/10.1016/j.pnpbp.2009.02.004,"Ohnuma, T.; Shibata, N.; Maeshima, H.; Baba, H.; Hatano, T.; Hanzawa, R.; Arai, H.",Association analysis of glycine-and serine-related genes in a Japanese population of patients with schizophrenia,Progress in Neuro-Psychopharmacology and Biological Psychiatry,33,3,511-518,2009,"Three SNPs in the DAO gene (rs3825251, rs3918347, and rs4964770) and their haplotypes are associated with schizophrenia in a Japanese population",failure,direct,medical fields,psychiatry,,high,680,1.152,OR,,,,,3498,,,,0.84,=,two-sided,
10.1016/j.socscimed.2010.04.026,https://doi.org/10.1016/j.socscimed.2010.04.026,,,True,https://doi.org/10.1111/j.1751-9861.1999.tb00053.x,"Burkholder, G.; Harlow, L.; Washkwich, J.","Social stigma, HIV/AIDS knowledge, and sexual risk",Journal of Applied Bio-Behavioral Research,4,1,27-44,1999,"Stigmatizing attitudes toward people with HIV/AIDS are associated with reduced safer sexual behavior, with this relationship not mediated by reduced perception of personal vulnerability to HIV",success,close,psychology,social psychology,,high,,,,,,,,460,-0.098,unstandardized regression coefficient,"[-0.151, -0.039]",0.001,=,,
10.1016/j.trf.2014.05.005,https://doi.org/10.1016/j.trf.2014.05.005,,,True,https://doi.org/10.1016/j.aap.2010.05.014,"Lewis-Evans, B.; De Waard, D.; Brookhuis, K.","That's close enough-A threshold effect of time headway on the experience of risk, task difficulty, effort, and comfort",Accident Analysis and Prevention,42,6,1926-1933,2010,"A threshold effect exists for time headway on drivers' ratings of risk, task difficulty, effort, and comfort, where ratings stay constant for large time headways (4.0-2.0s) but increase significantly for time headways below 2.0s",success,close,psychology,human factors and ergonomics,,high,40,,,,0.001,<,,33,,,,0.001,<,,
10.1016/j.visres.2020.04.011,https://doi.org/10.1016/j.visres.2020.04.011,,,True,https://doi.org/10.1097/00001756-199901180-00004,"Valle-Inclan, F.; Hackley, S.; De Labra, C.; Alvarez, A.",Early visual processing during binocular rivalry studied with visual evoked potentials,Neuroreport,10,1,21-25,1999,"Probes presented to the suppressed eye during binocular rivalry produce shorter percept durations than probes presented to the dominant eye, with no-probe trials falling midway between the two conditions",success,close,psychology,cognitive psychology,,high,,,,,,,,17,1.01,d,,0.001,<,,
10.1016/s0010-0277(99)00052-9,https://doi.org/10.1016/s0010-0277(99)00052-9,,,True,https://doi.org/10.1037/0278-7393.24.2.267,"Gerhand, S.; Barry, C.",Word frequency effects in oral reading are not merely age-of-acquisition effects in disguise,Journal of Experimental Psychology: Learning,24,2,267-283,1998,Age-of-acquisition and word frequency both independently affect word naming latencies in immediate (standard) oral reading,success,close,psychology,cognitive psychology,,high,,,,,,,,30,,,,0.01,<,,
10.1016/s0926-6410(02)00068-x,https://doi.org/10.1016/s0926-6410(02)00068-x,,,True,https://doi.org/10.1016/0028-3932(87)90048-0,"Gazzaniga, M.S.",Perceptual and attentional processes following callosal section in humans,Neuropsychologia,25,1,119-133,1987,Split-brain patients cannot perceive visual apparent motion across the midline,success,direct,neuroscience,cognitive neuroscience,,high,,,,,,,,1,,,,,,,
10.1016/s1048-9843(03)00008-0,https://doi.org/10.1016/s1048-9843(03)00008-0,,,True,https://doi.org/10.1016/s1048-9843(98)90038-8,"Pillai, R.; Williams, E.",Does leadership matter in the political arena? Voter perceptions of candidates' transformational and charismatic leadership and the 1996 U.S. presidential vote,The Leadership Quarterly,9,3,397-416,1998,Transformational leadership and attributed charisma predict voting behavior for presidential candidates beyond the effects of party affiliation,success,close,political science,political economy,,high,,,,,,,,342,,,,,,,
10.1016/s1048-9843(97)90031-x,https://doi.org/10.1016/s1048-9843(97)90031-x,,,True,https://doi.org/10.1037/0021-9010.72.3.444,"Vecchio, R.",Situational leadership theory: An examination of a prescriptive theory,Journal of Applied Psychology,72,3,444-445,1987,"Situational Leadership Theory predicts a three-way interaction among leader task behavior, leader relationship behavior, and subordinate readiness/maturity in determining leader effectiveness",failure,direct,psychology,social psychology,,high,303,,,,,,,332,,,,,,,
10.1016j/jsp.2024.101307,https://doi.org/10.1016j/jsp.2024.101307,,,True,https://doi.org/10.1016/j.jsp.2021.09.004,"Gettinger, M.; Kratochwill, T.; Eubanks, A.; Foy, A.; Levin, J.",Academic and behavior combined support: Evaluation of an integrated supplemental intervention for early elementary students,Journal of School Psychology,89,,1-19,2021,ABC Support intervention improves reading fluency and classroom behavior (engagement and disruptiveness) for Grade 2 students with academic and behavioral deficits,success,close,education,educational psychology,,high,6,2.53,g,,,,,4,3.59,g,,0.042,=,one-sided,
10.1017/bec.2013.16.,https://doi.org/10.1017/bec.2013.16.,,,True,https://doi.org/10.1016/s0005-7967(02)00012-8,"Van Den Hout, M.; Kindt, M.",Repeated checking causes memory distrust,Behaviour Research and Therapy,41,,301-316,2003,"Repeated checking of a virtual stove leads to decreased memory confidence, vividness, and detail compared to a control stimulus, without affecting memory accuracy",success,direct,psychology,clinical psychology,,high,39,,,,,,,113,0.39,etasq,,0.001,<,,
10.1017/epi.2013.23,https://doi.org/10.1017/epi.2013.23,,,True,,"Starmans, Christina; Friedman, Ori",Is knowledge subjective? A sex difference in adults' epistemic intuitions,Biennial Meeting of the Cognitive Development Society,,,,2009,Female participants are more likely than male participants to attribute knowledge to protagonists in Gettier cases,failure,direct,psychology,experimental philosophy,,high,,,,,,,,1153,,,,,>,,
10.1017/pds.2024.14,https://doi.org/10.1017/pds.2024.14,,,True,,"Matthiesen, S.; Nelius, T.",Managing assumptions during analysis - study on successful approaches of design engineers,ICED 2018,,,,2018,A structured verbalization of one's own understanding of a technical system helps to identify gaps and mistakes in the own analysis,success,direct,engineering,general engineering,,high,26,,,,,,,16,0.38,r,,0.147,=,,
10.1017/pds.2024.14,https://doi.org/10.1017/pds.2024.14,,,True,,"Matthiesen, S.; Nelius, T.",Managing assumptions during analysis - study on successful approaches of design engineers,ICED 2018,,,,2018,Verifying own assumptions about the function and behaviour of a technical system improves the quality of the analysis,failure,direct,engineering,general engineering,,medium,24,0.63,r,,0.001,=,,16,0.48,r,,0.06,=,,
10.1017/s0033291703001715,https://doi.org/10.1017/s0033291703001715,,,True,https://doi.org/10.1001/archpsyc.1993.01820190043005,"Breier, A.; Davis, O. R.; Buchanan, R. W.; Moricle, L. A.; Munson, R. C.",Effects of metabolic perturbation on plasma homovanillic acid in schizophrenia. Relationship to prefrontal cortex volume,Archives of General Psychiatry,50,7,541-550,1993,Individuals with schizophrenia display an increased homovanillic acid (HVA) response to metabolic stress compared to healthy controls,success,direct,psychology,clinical psychology,,high,,,,,,,,100,,,,0.039,<,,
10.1017/s0033291714002359,https://doi.org/10.1017/s0033291714002359,,,True,https://doi.org/10.1080/14640748808402300,"Huq, S.; Garety, P.; Hemsley, D.",Probabilistic judgements in deluded and non-deluded subjects,Quarterly Journal of Experimental Psychology,40,4,801-812,1988,"Deluded individuals require fewer draws before making a decision in a probabilistic reasoning task (beads task), gathering less evidence than non-deluded controls",success,close,psychology,clinical psychology,,high,,,,,,,,112,,,,0.021,=,,
10.1017/s026144482000021x,https://doi.org/10.1017/s026144482000021x,,,True,https://doi.org/10.1111/flan.12063,"Wu, S.; Ortega, L.",Measuring global oral proficiency in SLA research: A new elicited imitation test of L2 Chinese,Foreign Language Annals,46,4,680-704,2013,An elicited imitation test (EIT) reliably distinguishes between low-level and high-level language abilities among instructed second language learners of Mandarin Chinese,success,close,linguistics,second language acquisition,,high,40,,,,,,,65,,,,,,,
10.1017/s027226312400010x,https://doi.org/10.1017/s027226312400010x,,,True,https://doi.org/10.1017/s0272263114000126,"Kanwit, M.; Geeslin, K.",The interpretation of Spanish subjunctive and indicative forms in adverbial clauses: a cross-sectional study,Studies in Second Language Acquisition,36,3,487-533,2014,"L2 learners interpret verbal moods in Spanish adverbial clauses in variable ways, with indicative linked to habitual interpretation and subjunctive linked to not-yet-occurred interpretation",success,close,linguistics,second language acquisition,,high,64,,,,,,,119,,,,,,,
10.1017/s0305000996002917,https://doi.org/10.1017/s0305000996002917,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1017/s1041610222000898,https://doi.org/10.1017/s1041610222000898,,,True,https://doi.org/10.1016/j.jagp.2018.06.010,"Monin, J.",Longitudinal associations between cognitive functioning and depressive symptoms among older adult spouses in the Cardiovascular Health Study,The American Journal of Geriatric Psychiatry,26,,1036-1046,2018,One spouse's greater depressive symptoms predict the other spouse's greater depressive symptoms over time (partner effects for depression),success,close,psychology,clinical psychology,,high,,,,,,,,1810,0.10,Beta,,,,,
10.1017/s1041610222000898,https://doi.org/10.1017/s1041610222000898,,,True,https://doi.org/10.1016/j.jagp.2018.06.010,"Monin, J.",Longitudinal associations between cognitive functioning and depressive symptoms among older adult spouses in the Cardiovascular Health Study,The American Journal of Geriatric Psychiatry,26,,1036-1046,2018,One spouse's greater depressive symptoms predict the other spouse's lower cognitive functioning over time (cross-partner cognition-depression effects),failure,close,psychology,clinical psychology,,high,,,,,,,,1810,,,,,,,
10.1017/thg.2023.45,https://doi.org/10.1017/thg.2023.45,,,True,https://doi.org/10.1016/j.ajhg.2016.03.008,"Mbarek, H.; Steinberg, S.; Nyholt, D.; Gordon, S.; Miller, M.; Mcrae, A.; Hottenga, J.; Day, F.; Willemsen, G.; De Geus, E.; Davies, G.; Martin, H.; Penninx, B.; Jansen, R.; Mcaloney, K.; Vink, J.; Kaprio, J.; Plomin, R.; Spector, T.; Boomsma, D.",Identification of common genetic variants influencing spontaneous dizygotic twinning and female fertility,American Journal of Human Genetics,98,,898-908,2016,Genetic variants near FSHB (Follicle Stimulating Hormone Beta subunit) are associated with spontaneous dizygotic twinning in mothers of DZ twins,success,direct,biology,genetics,,high,14933,,,,,,,27282,,,,0.0000000000000000678,=,,
10.1017/thg.2023.45,https://doi.org/10.1017/thg.2023.45,,,True,https://doi.org/10.1016/j.ajhg.2016.03.008,"Mbarek, H.; Steinberg, S.; Nyholt, D.; Gordon, S.; Miller, M.; Mcrae, A.; Hottenga, J.; Day, F.; Willemsen, G.; De Geus, E.; Davies, G.; Martin, H.; Penninx, B.; Jansen, R.; Mcaloney, K.; Vink, J.; Kaprio, J.; Plomin, R.; Spector, T.; Boomsma, D.",Identification of common genetic variants influencing spontaneous dizygotic twinning and female fertility,American Journal of Human Genetics,98,,898-908,2016,Genetic variants in SMAD3 (SMAD Family Member 3) are associated with spontaneous dizygotic twinning in mothers of DZ twins,success,direct,biology,genetics,,high,14933,,,,,,,27282,,,,0.000000471,=,,
10.1017_s0261444824000120,https://doi.org/10.1017_s0261444824000120,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1027/1015-5759/a000481,https://doi.org/10.1027/1015-5759/a000481,,,True,https://doi.org/10.1037/pspp0000096,"Soto, Christopher J.; John, Oliver P.","The next Big Five Inventory (BFI-2): Developing and assessing a hierarchical model with 15 facets to enhance bandwidth, fidelity, and predictive power",Journal of Personality and Social Psychology,113,,117-143,2017,"Distinctive correlation patterns between BFI-2 facets and NEO-PI-R facets, where specific NEO-PI-R facets correlate more strongly with particular BFI-2 facets than with other same-domain BFI-2 facets",success,close,psychology,personality psychology,,high,,,,,,,,204,0.83,r,,,,,
10.1027/1015-5759/a000552,https://doi.org/10.1027/1015-5759/a000552,,,True,https://doi.org/10.1037/pas0000120,"Maples, J.; Carter, N.; Few, L.; Crego, C.; Gore, W.; Samuel, D.; Krueger, R.",Testing whether the DSM-5 personality disorder trait model can be measured with a reduced set of items: An item response theory investigation of the Personality Inventory for DSM-5,Psychological assessment,27,,1195-1210,2015,"A reduced 100-item version of the PID-5 has adequate psychometric properties (validity, reliability, and internal structure) comparable to the original 220-item version",success,close,psychology,clinical psychology,,high,,,,,,,,631,,,,,,,
10.1027/1614-0001.27.2.87,https://doi.org/10.1027/1614-0001.27.2.87,,,True,https://doi.org/10.1207/s15327752jpa8302_04,"Hofstee, W.; Ten Berge, J.","Personality in proportion: A bipolar proportional scale for personality assessments, and its consequences for trait structure",Journal of Personality Assessment,83,2,120-127,2004,"In normal samples assessed on personality traits, the factor structure is dominated by a first principal component reflecting social desirability, on which 97% of participants have modest positive scores",success,close,psychology,personality psychology,,high,133,,,,,,,775,,,,,,,
10.1027/1618-3169/a000272,https://doi.org/10.1027/1618-3169/a000272,,,True,https://doi.org/10.1073/pnas.1103880109,"Province, J.; Rouder, J.",Evidence for discrete-state processing in recognition memory,Proceedings of the National Academy of Sciences USA,109,,14357-14362,2012,"The two high-threshold model (2HTM) provides a better account of recognition memory data than continuous signal detection models, as demonstrated by conditional independence in a two-alternative forced-choice task",success,close,psychology,cognitive psychology,,high,,,,,,,,33,,,,0.007,=,two-sided,
10.1027/1864-9335/a000147,https://doi.org/10.1027/1864-9335/a000147,,,True,https://doi.org/10.1111/j.1467-9280.2008.02165,"Zhong, C.; Leonardelli, G.",Cold and lonely: Does social exclusion literally feel cold?,Psychological Science,19,,838-842,2008,Activating concepts of communion (vs. agency) increases perceptions of ambient temperature,success,close,psychology,social psychology,,high,,,,,,,,80,0.86,d,,0.001,<,,
10.1027/1864-9335/a000147,https://doi.org/10.1027/1864-9335/a000147,,,True,https://doi.org/10.1111/j.1467-9280.2008.02165,"Zhong, C.; Leonardelli, G.",Cold and lonely: Does social exclusion literally feel cold?,Psychological Science,19,,838-842,2008,"Positive communal traits increase temperature perception while negative communal traits decrease it, with no effect for agentic traits",success,close,psychology,social psychology,,high,,,,,,,,80,,,,0.001,<,,
10.1027/1864-9335/a000147,https://doi.org/10.1027/1864-9335/a000147,,,True,https://doi.org/10.1111/j.1467-9280.2008.02165,"Zhong, C.; Leonardelli, G.",Cold and lonely: Does social exclusion literally feel cold?,Psychological Science,19,,838-842,2008,Sociability-related communal traits have stronger effects on temperature perception than morality-related traits or agentic traits,success,close,psychology,social psychology,,high,,,,,,,,160,,,,0.001,<,,
10.1027/1864-9335/a000236,https://doi.org/10.1027/1864-9335/a000236,,,True,https://doi.org/10.1111/j.0963-7214.2004.01502002.x,"Meier, B.; Robinson, M.; Clore, G.",Why good guys wear white: Automatic inferences about stimulus valence based on brightness,Psychological Science,15,2,82-87,2004,"Evaluations are faster when word valence metaphorically matches font color (positive words in white, negative words in black) compared to when they mismatch",success,direct,psychology,social psychology,,high,21,0.18,etasq,"[0.0, 0.44]",,,,980,0.07,etasq,"[0.04, 0.1]",0.01,<,,
10.1037//0022-3514.80.4.572,https://doi.org/10.1037//0022-3514.80.4.572,,,True,https://doi.org/10.1037/h0032086,"Woodruff, D. S.; Birren, J. E.",Age changes and cohort difference in personality,Developmental Psychology,6,2,252-259,1972,"People retrospectively rate their former selves as less well adjusted than they originally reported, even when no actual change occurred over time",success,conceptual,psychology,social psychology,,high,54,,,,,,,28,,,,0.001,<,two-sided,
10.1037//0097-7403.22.3.265,https://doi.org/10.1037//0097-7403.22.3.265,,,True,https://doi.org/10.1037/0097-7403.21.4.331,"Illich, Paul A.; King, Tamara A.; Grau, James W.",Impact of shock on pain reactivity: I. Whether hypo- or hyperalgesia is observed depends on how pain reactivity is tested,Journal of Experimental Psychology: Animal Behavior Processes,21,4,331-347,1995,Exposure to shock causes rats to be hyperreactive to a test shock and hyporeactive to radiant heat on the tail-flick test,success,direct,psychology,experimental psychology,,high,,,,,,,,40,,,,0.05,<,,
10.1037/0003-066x.54.6.408,https://doi.org/10.1037/0003-066x.54.6.408,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1037/0012-1649.42.4.666,https://doi.org/10.1037/0012-1649.42.4.666,,,True,https://doi.org/10.1038/358749a0,"Wynn, K.",Addition and subtraction by human infants,Nature,358,6389,749-750,1992,"Five-month-old infants can compute the precise results of simple additions and subtractions, as evidenced by longer looking times at mathematically impossible versus possible outcomes",inconclusive,close,psychology,developmental psychology,,high,,,,,,,,62,,,,0.05,<,one-sided,
10.1037/0021-843x.108.3.511,https://doi.org/10.1037/0021-843x.108.3.511,,,True,https://doi.org/10.1037//0021-843x.104.4.585,"Kuyken, W.; Brewin, C.",Autobiographical memory functioning in depression and reports of early abuse,Journal of Abnormal Psychology,104,4,585-591,1995,Overgeneral memory is associated with intrusive memories and efforts to avoid these memories in depressed patients with childhood abuse history,inconclusive,direct,psychology,clinical psychology,,high,,,,,,,,44,0.52,r,,0.001,<,,
10.1037/0021-843x.108.3.511,https://doi.org/10.1037/0021-843x.108.3.511,,,True,https://doi.org/10.1192/bjp.162.1.118,"Brittlebank, A.; Scott, J.; Williams, J.; Ferrier, I.",Autobiographical memory in depression: State or trait marker?,British Journal of Psychiatry,162,1,118-121,1993,"Overgeneral memory at baseline predicts severity of depression at follow-up, even when controlling for initial symptom severity",failure,direct,psychology,clinical psychology,,high,19,,,,,,,44,,,,,,,
10.1037/0021-843x.115.3.636,https://doi.org/10.1037/0021-843x.115.3.636,,,True,https://doi.org/10.1037//0021-843x.111.4.620,"O'Donnell, B. F.; Nestor, P. G.; Stylianopoulos, K. C.; Shenton, M. E.; McCarley, R. W.",Spatial frequency discrimination in schizophrenia,Journal of Abnormal Psychology,111,4,620-625,2002,Patients with schizophrenia show impaired discrimination performance at low spatial frequencies compared to healthy controls,success,close,psychology,clinical psychology,,high,17,,,,,,,35,,,,0.007,=,two-sided,
10.1037/0021-843x.115.4.798,https://doi.org/10.1037/0021-843x.115.4.798,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1037/0021-9010.61.4.446,https://doi.org/10.1037/0021-9010.61.4.446,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1037/0021-9010.66.5.582,https://doi.org/10.1037/0021-9010.66.5.582,,,True,https://doi.org/10.1037/0021-9010.63.2.228,"Bigoness, W.",Correlates of faculty attitudes toward collective bargaining,Journal of Applied Psychology,63,2,228-233,1978,"Age is negatively related to faculty attitudes toward collective bargaining, but this relationship becomes non-significant when salary is controlled",success,direct,psychology,social psychology,,high,,,,,,,,220,,,,,,,
10.1037/0021-9010.66.5.582,https://doi.org/10.1037/0021-9010.66.5.582,,,True,https://doi.org/10.1037/0021-9010.63.2.228,"Bigoness, W.",Correlates of faculty attitudes toward collective bargaining,Journal of Applied Psychology,63,2,228-233,1978,Satisfaction with economic factors accounts for more variance in perceived need for a union than does intrinsic job satisfaction among college faculty,success,direct,psychology,social psychology,,high,,,,,,,,220,,,,,,,
10.1037/0021-9010.66.5.582,https://doi.org/10.1037/0021-9010.66.5.582,,,True,https://doi.org/10.1037/0021-9010.63.2.228,"Bigoness, W.",Correlates of faculty attitudes toward collective bargaining,Journal of Applied Psychology,63,2,228-233,1978,External locus of control is positively related to faculty attitudes favoring collective bargaining,success,close,psychology,social psychology,,high,,0.17,r,,,,,220,-0.37,r,,0.01,<,,
10.1037/0021-9010.66.5.582,https://doi.org/10.1037/0021-9010.66.5.582,,,True,https://doi.org/10.1037/0021-9010.63.2.228,"Bigoness, W.",Correlates of faculty attitudes toward collective bargaining,Journal of Applied Psychology,63,2,228-233,1978,"Perceived need for collective bargaining is negatively related to satisfaction with work, pay, supervision, and promotional opportunities among college faculty",success,direct,psychology,social psychology,,high,,,,,,,,220,-0.27,r,,0.01,<,two-sided,
10.1037/0021-9010.66.5.646,https://doi.org/10.1037/0021-9010.66.5.646,,,True,https://doi.org/10.1037/0021-9010.64.6.648,"Campbell, D.",Interior office design and visitor response,Journal of Applied Psychology,64,6,648-653,1979,Office design elements (desk placement and tidiness) systematically affect visitor feelings of comfort and welcomeness and attributions about the office occupant,success,close,psychology,social psychology,,high,,,,,,,,100,,,,,,,
10.1037/0021-9010.67.2.245,https://doi.org/10.1037/0021-9010.67.2.245,,,True,https://doi.org/10.1037/h0022937,"Locke, E. A.",The relationship of intentions to level of performance,Journal of Applied Psychology,50,1,50-66,1966,Higher goal levels lead to higher task performance on a creativity task,success,direct,psychology,social psychology,,high,,,,,,,,86,,,,0.0001,<,,
10.1037/0021-9010.67.5.640,https://doi.org/10.1037/0021-9010.67.5.640,,,True,https://doi.org/10.1037/0021-9010.65.4.479,"Gordon, M.; Philpot, J.; Burt, R.; Thompson, C.; Spiller, W.",Commitment to the union: Development of a measure and an examination of its correlates,Journal of Applied Psychology,65,4,479-499,1980,"Union commitment consists of four orthogonal dimensions: Union Loyalty, Responsibility to the Union, Willingness to Work for the Union, and Belief in Unionism",success,close,psychology,social psychology,,high,,,,,,,,783,,,,,,,
10.1037/0021-9010.69.2.349,https://doi.org/10.1037/0021-9010.69.2.349,,,True,https://doi.org/10.5465/256083,"Mobley, W.",Supervisor and employee race and sex effects on performance appraisals: A field study of adverse impact and generalizability,Academy of Management Journal,25,3,598-606,1982,Sex of rater and sex of ratee do not interact to affect performance appraisal ratings in organizational settings,success,close,psychology,social psychology,,high,1035,,,,,,,637,,,,0.05,<,,
10.1037/0021-9010.69.2.349,https://doi.org/10.1037/0021-9010.69.2.349,,,True,https://doi.org/10.1037//0021-9010.67.4.433,"Wexley, K.; Pulakos, E.",Sex effects on performance ratings in manager-subordinate dyads: A field study,Journal of Applied Psychology,67,4,433-439,1982,Sex of rater and sex of ratee do not interact to affect performance appraisal ratings in manager-subordinate dyads,success,close,psychology,social psychology,,high,286,,,,,,,637,,,,0.05,<,,
10.1037/0021-9010.70.1.108,https://doi.org/10.1037/0021-9010.70.1.108,,,True,https://doi.org/10.1037/0021-9010.66.5.541,"Terpstra, D.",Relationship between methodological rigor and reported outcomes in organization development evaluation research,Journal of Applied Psychology,66,5,541-543,1981,"More rigorous organization development evaluation studies report more negative outcomes, indicating positive findings bias in OD research",failure,direct,business & management,management,,high,52,0.27,eta,,,,,90,,,,0.805,=,,
10.1037/0021-9010.70.3.423,https://doi.org/10.1037/0021-9010.70.3.423,,,True,https://doi.org/10.5465/255589,"Parkington, J.; Schneider, B.",Some correlates of experienced job stress: a boundary role study,Academy of Management Journal,22,2,270-281,1979,"Service orientation discrepancy (mismatch between employees' own service orientation and their beliefs about management's service orientation) is associated with employee outcomes including role stress, frustration, and turnover intentions",inconclusive,direct,business & management,management,,high,243,,,,,,,132,,,,,,,
10.1037/0021-9010.70.3.423,https://doi.org/10.1037/0021-9010.70.3.423,,,True,https://doi.org/10.2307/2392454,"Schneider, B.; Parkington, J.; Buxton, V.",Employee and customer perceptions of service in banks,Administrative Science Quarterly,25,2,252-267,1980,"Branch employees' and branch customers' attitudes about service quality are strongly related, reflecting the close connection between employee and customer perceptions in face-to-face service organizations",success,direct,business & management,management,,high,,0.67,r,,0.01,<,,,0.63,r,,0.01,<,,
10.1037/0021-9010.70.3.540,https://doi.org/10.1037/0021-9010.70.3.540,,,True,https://doi.org/10.1037/0021-9010.61.4.446,"Bartol, K. M.; Butterfield, D. A.",Sex effects in evaluating leaders,Journal of Applied Psychology,61,4,446-454,1976,"Sex role stereotypes bias the performance evaluation of managers such that male managers using an initiating structure (task-oriented) leadership style are rated higher than female managers using the same style, and female managers using a considerate (relationship-oriented) leadership style are rated higher than male managers using the same style",failure,close,psychology,social psychology,,high,,,,,,,,1020,,,,,,,
10.1037/0021-9010.70.4.777,https://doi.org/10.1037/0021-9010.70.4.777,,,True,https://doi.org/10.1037/0021-9010.67.6.868,"Graen, G.; Liden, R.; Hoel, W.",Role of leadership in the employee withdrawal process,Journal of Applied Psychology,67,6,868-872,1982,Leader-member exchange (dyadic leadership style) predicts employee turnover better than average leadership style,success,close,business & management,human resource management,,high,48,0.44,r,,0.01,<,,68,0.19,r,,,,,
10.1037/0021-9010.72.3.344,https://doi.org/10.1037/0021-9010.72.3.344,,,True,https://doi.org/10.1016/0030-5073(76)90005-2,"Staw, B.",Knee-deep in the big muddy: A study of escalating commitment to a chosen course of action,Organizational Behavior and Human Performance,16,1,27-44,1976,Decision makers who are responsible for a failure will be more retrospectively oriented (seeking information to justify past actions) than those who are not responsible for a failure,success,direct,psychology,social psychology,,high,,,,,,,,72,,,,0.01,<,,
10.1037/0021-9010.72.4.522,https://doi.org/10.1037/0021-9010.72.4.522,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1037/0021-9010.73.3.467,https://doi.org/10.1037/0021-9010.73.3.467,,,True,https://doi.org/10.1037/0021-9010.70.1.29,"Campion, Michael A.; Thayer, Paul W.",Development and field evaluation of an interdisciplinary measure of job design,Journal of Applied Psychology,70,1,29-43,1985,"Four distinct approaches to job design (motivational, mechanistic, biological, and perceptual/motor) relate to different categories of outcomes (satisfaction, efficiency, comfort, and reliability, respectively)",success,close,business & management,human resource management,,high,121,,,,,,,1024,,,,,,,
10.1037/0021-9010.74.3.411,https://doi.org/10.1037/0021-9010.74.3.411,,,True,https://doi.org/10.1037/0021-9010.72.3.387,"Frayne, C.; Latham, G.",The application of social learning theory to employee self-management of attendance,Journal of Applied Psychology,72,3,387-392,1987,Self-management training increases job attendance and self-efficacy in unionized state government employees,success,direct,psychology,social psychology,,high,20,,,,,,,20,,,,,,,
10.1037/0021-9010.74.5.823,https://doi.org/10.1037/0021-9010.74.5.823,,,True,https://doi.org/10.1037/0021-9010.72.4.573,"Murphy, K.; Constans, J.",Behavioral anchors as a source of bias in rating,Journal of Applied Psychology,72,4,573-577,1987,Behaviorally anchored rating scales containing observed but unrepresentative behaviors bias performance ratings in the direction of those behaviors,success,direct,psychology,social psychology,,high,,,,,,,,183,,,,0.01,<,,
10.1037/0021-9010.74.6.869,https://doi.org/10.1037/0021-9010.74.6.869,,,True,https://doi.org/10.1037/0021-9010.65.4.479,"Gordon, M.; Philpot, J.; Burt, R.; Thompson, C.; Spiller, W.",Commitment to the union: Development of a measure and an examination of its correlates,Journal of Applied Psychology,65,4,479-499,1980,"The Union Commitment scale yields four empirical dimensions: union loyalty, responsibility to the union, willingness to work for the union, and belief in unionism",inconclusive,close,psychology,social psychology,,high,,,,,,,,170,,,,,,,
10.1037/0021-9010.74.6.869,https://doi.org/10.1037/0021-9010.74.6.869,,,True,https://doi.org/10.1037/0021-9010.65.4.479,"Gordon, M.; Philpot, J.; Burt, R.; Thompson, C.; Spiller, W.",Commitment to the union: Development of a measure and an examination of its correlates,Journal of Applied Psychology,65,4,479-499,1980,Union commitment is a better predictor of intent to withdraw from the union than union satisfaction,success,close,psychology,social psychology,,high,,,,,,,,170,0.51,r,,0.05,<,two-sided,
10.1037/0021-9010.77.1.55,https://doi.org/10.1037/0021-9010.77.1.55,,,True,https://doi.org/10.1111/j.1469-8986.1984.tb00257.x,"Bradley, M.; Warfield, J.","Innocence, information, and the Guilty Knowledge Test in the detection of deception",Psychophysiology,21,6,683-689,1984,"Innocent subjects aware of crime-relevant information can be distinguished from guilty subjects on the Guilty Knowledge Test, with lying augmenting physiological responsivity beyond mere awareness",success,direct,psychology,psychophysiology,,high,,,,,,,,48,,,,0.05,<,,
