doi,source_folder,is_relevant,studies_treatment,trial_type,is_excluded,exclusion_reason,topics,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1021/acs.jmedchem.3c01308,pdfs,no,no,unclear,yes,,nitric oxide | antifungal | cryptococcal meningitis | in vitro study,Novel Nitric Oxide Donor–Azole Conjugation Strategy for Efficient Treatment of <i>Cryptococcus neoformans</i> Infections,Journal of Medicinal Chemistry,2023,Fangfang Wang; Jianbing Wu; Mingke Yuan; Zhengsheng Yan; Xin Liu; Wang Li; Yihua Zhang; Chunquan Sheng; Na Liu; Zhangjian Huang,66,20,14221-14240,https://doi.org/10.1021/acs.jmedchem.3c01308
10.1021/acscentsci.4c00054,pdfs,yes,yes,other,no,,multivalent entry inhibitors | SARS-CoV-2 | intranasal instillation | in vivo efficacy | broad-spectrum antivirals,Benzene with Alkyl Chains Is a Universal Scaffold for Multivalent Virucidal Antivirals,ACS Central Science,2024,Yong Zhu; Matteo Gasbarri; Soumaila Zebret; Sujeet Pawar; Gregory Mathez; Jacob Diderich; Alma Delia Valencia-Camargo; Doris Russenberger; Heyun Wang; Paulo Henrique Jacob Silva; Jay-ar B. Dela Cruz; Lixia Wei; Valeria Cagno; Christian Münz; Roberto F. Speck; Daniel Desmecht; Francesco Stellacci,10,5,1012-1021,https://doi.org/10.1021/acscentsci.4c00054
10.1021/acsinfecdis.4c00504,pdfs,yes,yes,other,no,,STING agonist | innate immunomodulator | intranasal antiviral | respiratory virus | diABZI-4,STING Agonist Induced Innate Immune Responses Drive Anti-Respiratory Virus Activity <i>In Vitro</i> with Limited Antiviral Efficacy <i>In Vivo</i>,ACS Infectious Diseases,2024,Rebecca Broeckel; Amanda Browne; Scott Sucoloski; Juan Cantizani; Juliet. K. Simpson; Scott Pesiridis; Joshi M. Ramanjulu; Neil Stokes; Priya Luthra,10,9,3392-3407,https://doi.org/10.1021/acsinfecdis.4c00504
10.1021/acsinfecdis.6b00064,pdfs,yes,yes,other,no,,antiviral peptide | intranasal delivery | influenza A | host-virus interaction | animal model,Peptide-Mediated Interference of PB2-eIF4G1 Interaction Inhibits Influenza A Viruses’ Replication in Vitro and in Vivo,ACS Infectious Diseases,2016,Shuofeng Yuan; Hin Chu; Jiahui Ye; Meng Hu; Kailash Singh; Billy K. C. Chow; Jie Zhou; Bo-Jian Zheng,2,7,471-477,https://doi.org/10.1021/acsinfecdis.6b00064
10.1021/acsnano.3c02050,pdfs,yes,yes,other,no,,synthetic antibody inhibitor | intranasal administration | SARS-CoV-2 variants | broad-spectrum neutralization | in vitro and in vivo efficacy,Abiotic Synthetic Antibody Inhibitor with Broad-Spectrum Neutralization and Antiviral Efficacy against Escaping SARS-CoV-2 Variants,ACS Nano,2023,Bingxue Li; Ya Zhao; Xuefan Wu; Haiyan Wu; Weicheng Tang; Xiaoyang Yu; Jianqiong Mou; Wenfeng Tan; Meilin Jin; Wei Li; Qiang Zhang; Mingming Liu,17,7,7017-7034,https://doi.org/10.1021/acsnano.3c02050
10.1021/acscentsci.2c01243,pdfs,yes,yes,other,no,,intranasal antiviral | SARS-CoV-2 | host-directed antiviral | piperlongumine | in vivo animal model,A Selective SARS-CoV-2 Host-Directed Antiviral Targeting Stress Response to Reactive Oxygen Species,ACS Central Science,2023,Cong Tang; Ana R. Coelho; Maria Rebelo; Hannah Kiely-Collins; Tânia Carvalho; Gonçalo J. L. Bernardes,9,1,109-121,https://doi.org/10.1021/acscentsci.2c01243
10.1021/jm00188a013,pdfs,yes,yes,case_series,no,,intranasal antiviral | thiazolinone derivative | influenza treatment | ferret model,"Easily hydrolyzable, water-soluble derivatives of (.+-.)-.alpha.-5-[1-(indol-3-yl)ethyl]-2-methylamino-.DELTA.2-thiazolin-4-one, a novel antiviral compound",Journal of Medicinal Chemistry,1979,Harnden MR; Bailey S.; Boyd MR; Wilkinson JB; Wright ND,22,2,191-195,https://doi.org/10.1021/jm00188a013
10.1021/mp300257x,pdfs,yes,yes,other,no,,TLR2 agonist | intranasal immunomodulator | influenza prophylaxis | innate immunity | animal model,Intranasal Administration of the TLR2 Agonist Pam2Cys Provides Rapid Protection against Influenza in Mice,Molecular Pharmaceutics,2012,Amabel C. L. Tan; Edin J. Mifsud; Weiguang Zeng; Kathryn Edenborough; Jodie McVernon; Lorena E. Brown; David C. Jackson,9,9,2710-2718,https://doi.org/10.1021/mp300257x
10.1021/jm3009844,pdfs,yes,yes,other,no,,zanamivir conjugates | intranasal antiviral | influenza treatment | dual-targeted drugs | anti-inflammatory,Enhanced Anti-influenza Agents Conjugated with Anti-inflammatory Activity,Journal of Medicinal Chemistry,2012,Kung-Cheng Liu; Jim-Min Fang; Jia-Tsrong Jan; Ting-Jen R. Cheng; Shi-Yun Wang; Shi-Ting Yang; Yih-Shyun E. Cheng; Chi-Huey Wong,55,19,8493-8501,https://doi.org/10.1021/jm3009844
10.1038/nm1174,pdfs,yes,yes,other,no,,intranasal siRNA nanoparticles | RSV inhibition | antiviral treatment | nanoparticle delivery | animal model,Inhibition of respiratory syncytial virus infection with intranasal siRNA nanoparticles targeting the viral NS1 gene,Nature Medicine,2005,Weidong Zhang; Hong Yang; Xiaoyuan Kong; Subhra Mohapatra; Homero San Juan-Vergara; Gary Hellermann; Sumita Behera; Rajeswari Singam; Richard F. Lockey; Shyam S. Mohapatra,11,1,56-62,https://doi.org/10.1038/nm1174
10.1038/s41467-020-19386-5,pdfs,yes,yes,other,no,,zanamivir conjugate | intranasal antiviral | influenza treatment | immunotherapy | neuraminidase inhibitor,A universal dual mechanism immunotherapy for the treatment of influenza virus infections,Nature Communications,2020,Xin Liu; Boning Zhang; Yingcai Wang; Hanan S. Haymour; Fenghua Zhang; Le-cun Xu; Madduri Srinivasarao; Philip S. Low,11,1,5597,https://doi.org/10.1038/s41467-020-19386-5
10.1038/s41467-022-32216-0,pdfs,yes,yes,other,no,,intranasal ASO | SARS-CoV-2 | locked nucleic acid | antiviral therapy | animal model,An intranasal ASO therapeutic targeting SARS-CoV-2,Nature Communications,2022,Chi Zhu; Justin Y. Lee; Jia Z. Woo; Lei Xu; Xammy Huu Wrynla; Livia H. Yamashiro; Fei Ji; Scott B. Biering; Erik Van Dis; Federico Gonzalez; Douglas Fox; Eddie Wehri; Arjun Rustagi; Benjamin A. Pinsky; Julia Schaletzky; Catherine A. Blish; Charles Chiu; Eva Harris; Ruslan I. Sadreyev; Sarah Stanley; Sakari Kauppinen; Silvi Rouskin; Anders M. Näär,13,1,4503,https://doi.org/10.1038/s41467-022-32216-0
10.1038/s41467-023-39738-1,pdfs,yes,yes,other,no,,innate immunomodulator | intranasal prophylaxis | SARS-CoV-2 | RSV | influenza,"An immunostimulatory glycolipid that blocks SARS-CoV-2, RSV, and influenza infections in vivo",Nature Communications,2023,Moriya Tsuji; Manoj S. Nair; Kazuya Masuda; Candace Castagna; Zhenlu Chong; Tamarand L. Darling; Kuljeet Seehra; Youngmin Hwang; Ágata Lopes Ribeiro; Geovane Marques Ferreira; Laura Corredor; Jordana Grazziela Alves Coelho-dos-Reis; Yukiko Tsuji; Munemasa Mori; Adrianus C. M. Boon; Michael S. Diamond; Yaoxing Huang; David D. Ho,14,1,3959,https://doi.org/10.1038/s41467-023-39738-1
10.1038/s41467-025-59294-0,pdfs,yes,yes,other,no,,intranasal monoclonal antibody | IgM engineering | influenza A prophylaxis | animal model | broadly neutralizing antibody,An intranasally administered IgM protects against antigenically distinct subtypes of influenza A viruses,Nature Communications,2025,Ashwin Kumar Ramesh; Jwala Priyadarsini Sivaccumar; Xiaohua Ye; Luona Yang; Hailong Guo; Chen-Ni Chin; Sha Ha; John W. Shiver; William R. Strohl; Yan Xu; Haijuan Du; Tongqing Zhou; Ningyan Zhang; Kai Xu; Xinli Liu; Tong-Ming Fu; Zhiqiang An,16,1,4025,https://doi.org/10.1038/s41467-025-59294-0
10.1038/s41467-026-68462-9,pdfs,yes,yes,other,no,,antiviral peptide | intranasal | SARS-CoV-2 | Omicron | macrocyclic peptide,Intranasal administration of broad-spectrum macrocyclic peptide inhibitor protects against SARS-CoV-2 Omicron variants,Nature Communications,2026,Min Wang; Jinyue Yang; Yahong Tan; Shuofeng Yuan; Guoli Shi; Qi Peng; Yongqi Li; Vincent Kwok-Man Poon; Chris Chung-Sing Chan; Na Xiao; Anna Jinxia Zhang; Yubin Xie; Junhua Li; Hao Luo; Yaning Fu; Yong Chen; Alex A. Compton; Youming Zhang; Yang Yang; George Fu Gao; Hongwei Hou; Jasper Fuk-Woo Chan; Yizhen Yin; Yi Shi,17,1,1753,https://doi.org/10.1038/s41467-026-68462-9
10.1038/s41598-020-80896-9,pdfs,yes,yes,other,no,,lambda-carrageenan | influenza | SARS-CoV-2 | intranasal administration | barrier agent,Antiviral activity of lambda-carrageenan against influenza viruses and severe acute respiratory syndrome coronavirus 2,Scientific Reports,2021,Yejin Jang; Heegwon Shin; Myoung Kyu Lee; Oh Seung Kwon; Jin Soo Shin; Yong-il Kim; Chan Woo Kim; Hye-Ra Lee; Meehyein Kim,11,1,821,https://doi.org/10.1038/s41598-020-80896-9
10.1038/s41598-021-99404-8,pdfs,yes,yes,other,no,,chitosan polymer | mucoadhesive barrier | SARS-CoV-2 inhibition | nasal spray | in vitro and in vivo studies,"SARS-CoV-2 inhibition using a mucoadhesive, amphiphilic chitosan that may serve as an anti-viral nasal spray",Scientific Reports,2021,Krzysztof Pyrć; Aleksandra Milewska; Emilia Barreto Duran; Paweł Botwina; Agnieszka Dabrowska; Malwina Jedrysik; Malgorzata Benedyk; Rui Lopes; Alejandro Arenas-Pinto; Moutaz Badr; Ryan Mellor; Tammy L. Kalber; Delmiro Fernandez-Reyes; Andreas G. Schätzlein; Ijeoma F. Uchegbu,11,1,20012,https://doi.org/10.1038/s41598-021-99404-8
10.1038/s41598-022-14601-3,pdfs,yes,yes,rct,no,,astodrimer sodium | antiviral nasal spray | SARS-CoV-2 | safety and tolerability | randomized controlled trial,Astodrimer sodium antiviral nasal spray for reducing respiratory infections is safe and well tolerated in a randomized controlled trial,Scientific Reports,2022,Alex Castellarnau; Graham P. Heery; Aynaz Seta; Carolyn A. Luscombe; George R. Kinghorn; Peter Button; Philip McCloud; Jeremy R. A. Paull,12,1,10210,https://doi.org/10.1038/s41598-022-14601-3
10.1038/s41598-023-32546-z,pdfs,yes,yes,rct,no,,azelastine nasal spray | SARS-CoV-2 viral load | early intervention | antihistamine | intranasal treatment,Early intervention with azelastine nasal spray may reduce viral load in SARS-CoV-2 infected patients,Scientific Reports,2023,Jens Peter Klussmann; Maria Grosheva; Peter Meiser; Clara Lehmann; Eszter Nagy; Valéria Szijártó; Gábor Nagy; Robert Konrat; Michael Flegel; Frank Holzer; Dorothea Groß; Charlotte Steinmetz; Barbara Scherer; Henning Gruell; Maike Schlotz; Florian Klein; Paula Aguiar de Aragão; Henning Morr; Helal Al Saleh; Andreas Bilstein; Belisa Russo; Susanne Müller-Scholtz; Cengizhan Acikel; Hacer Sahin; Nina Werkhäuser; Silke Allekotte; Ralph Mösges,13,1,6839,https://doi.org/10.1038/s41598-023-32546-z
10.1038/s41598-022-08066-7,pdfs,yes,yes,other,no,,intranasal interferon | influenza | antiviral | prophylaxis | mouse model,Early IFN-β administration protects cigarette smoke exposed mice against lethal influenza virus infection without increasing lung inflammation,Scientific Reports,2022,Wu W.; Tian L.; Zhang W.; Booth JL; Ritchey JW; Wu S.; Xu C.; Brown BR; Metcalf JP,12,1,4080,https://doi.org/10.1038/s41598-022-08066-7
10.1038/s41598-023-42539-7,pdfs,yes,yes,rct,no,,HPMC barrier agent | human anti-SARS-CoV-2 IgG1 antibodies | nasal spray | safety assessment | neutralizing antibodies,Assessment of safety and intranasal neutralizing antibodies of HPMC-based human anti-SARS-CoV-2 IgG1 nasal spray in healthy volunteers,Scientific Reports,2023,Thanarath Imsuwansri; Thitinan Jongthitinon; Niramon Pojdoung; Nuntana Meesiripan; Siriwan Sakarin; Chatikorn Boonkrai; Tossapon Wongtangprasert; Tanapati Phakham; Thittaya Audomsun; Chadaporn Attakitbancha; Pijitra Saelao; Phijitra Muanwien; Maoxin Tim Tian; Songsak Tongchusak; Bhrus Sangruji; Dhammika Leshan Wannigama; Chenphop Sawangmake; Watchareewan Rodprasert; Quynh Dang Le; Steven Dwi Purbantoro; Kananuch Vasuntrarak; Sirirat Nantavisai; Supakit Sirilak; Ballang Uppapong; Sompong Sapsutthipas; Sakalin Trisiriwanich; Thitiporn Somporn; Asmah Usoo; Natthakarn Mingngamsup; Supaporn Phumiamorn; Porawan Aumklad; Kwanputtha Arunprasert; Prasopchai Patrojanasophon; Praneet Opanasopit; Norapath Pesirikan; Ladda Nitisaporn; Jesada Pitchayakorn; Thana Narkthong; Bancha Mahong; Kumchol Chaiyo; Kanjana Srisutthisamphan; Ratchanont Viriyakitkosol; Songklot Aeumjaturapat; Anan Jongkaewwattana; Sakarn Bunnag; Trairak Pisitkun,13,1,15648,https://doi.org/10.1038/s41598-023-42539-7
10.1038/s41598-023-47547-1,pdfs,yes,yes,other,no,,defective interfering particles | intranasal antiviral | influenza A | animal model | DIPs,Generation of “OP7 chimera” defective interfering influenza A particle preparations free of infectious virus that show antiviral efficacy in mice,Scientific Reports,2023,Tanya Dogra; Lars Pelz; Julia D. Boehme; Jan Kuechler; Olivia Kershaw; Pavel Marichal-Gallardo; Maike Baelkner; Marc D. Hein; Achim D. Gruber; Dirk Benndorf; Yvonne Genzel; Dunja Bruder; Sascha Y. Kupke; Udo Reichl,13,1,20936,https://doi.org/10.1038/s41598-023-47547-1
10.1038/s41598-025-12444-2,pdfs,yes,yes,other,no,,antiviral peptide | intranasal administration | SARS-CoV-2 | fusion protein | animal model,Fusion of SARS-CoV-2 neutralizing LCB1 peptide with Bacillus amyloliquefaciens RNase improves antiviral efficacy,Scientific Reports,2025,Nikita N. Kostin; Tatyana V. Bobik; Elena V. Konovalova; Milita V. Kocharovskaya; Maria A. Simonova; Natalia Yu Rushkevich; Yuliana A. Mokrushina; George A. Skryabin; Roman S. Kalinin; Sergey I. Kovalchuk; Rustam H. Ziganshin; Leonid A. Kaluzhskiy; Oksana V. Gnedenko; Evgeniy O. Yablokov; Alexis S. Ivanov; Aleksandr S. Chernov; Vitaly A. Kazakov; Oksana N. Khokhlova; Arkady N. Murashev; Senlian Hong; Elena I. Shramova; Alexey A. Schulga; Ekaterina N. Lyukmanova; Mikhail P. Kirpichnikov; Ivan V. Smirnov; Alexey A. Belogurov; Yuri P. Rubtsov; Alexey V. Stepanov; Hongkai Zhang; Alexander G. Gabibov; Sergey M. Deyev,15,1,28039,https://doi.org/10.1038/s41598-025-12444-2
10.1038/s42003-023-04589-5,pdfs,yes,yes,other,no,,intranasal siRNA | SARS-CoV-2 prophylaxis | antiviral RNAi | animal model,From a genome-wide screen of RNAi molecules against SARS-CoV-2 to a validated broad-spectrum and potent prophylaxis,Communications Biology,2023,Ohad Yogev; Omer Weissbrod; Giorgia Battistoni; Dario Bressan; Adi Naamati; Ilaria Falciatori; Ahmet Can Berkyurek; Roni Rasnic; Rhys Izuagbe; Myra Hosmillo; Shaul Ilan; Iris Grossman; Lauren McCormick; Christopher Cole Honeycutt; Timothy Johnston; Matthew Gagne; Daniel C. Douek; Ian Goodfellow; Gregory James Hannon; Yaniv Erlich,6,1,277,https://doi.org/10.1038/s42003-023-04589-5
10.1038/s41598-025-95494-w,pdfs,yes,yes,other,no,,ACE2-Fc decoy | intranasal antiviral | SARS-CoV-2 | animal model | plant-based therapeutic,An ACE2-Fc decoy produced in glycoengineered plants neutralizes ancestral and newly emerging SARS-CoV-2 variants and demonstrates therapeutic efficacy in hamsters,Scientific Reports,2025,Esther Föderl-Höbenreich; Shiva Izadi; Lara Hofacker; Nikolaus F. Kienzl; Alexandra Castilho; Richard Strasser; Ferran Tarrés-Freixas; Guillermo Cantero; Núria Roca; Mònica Pérez; Cristina Lorca-Oró; Carla Usai; Joaquim Segalés; Júlia Vergara-Alert; Lukas Mach; Kurt Zatloukal,15,1,11307,https://doi.org/10.1038/s41598-025-95494-w
10.1038/s42003-025-07491-4,pdfs,yes,yes,other,no,,fusion-inhibitory peptides | intranasal antiviral | SARS-CoV-2 | animal model | prophylaxis,Intranasally administrated fusion-inhibitory lipopeptides block SARS-CoV-2 infection in mice and enable long-term protective immunity,Communications Biology,2025,Mougari S.; Favède V.; Predella C.; Reynard O.; Durand S.; Mazelier M.; Pizzioli E.; Decimo D.; Bovier FT; Lapsley LM; Castagna C.; Lieberman NAP; Noel G.; Mathieu C.; Malissen B.; Briese T.; Greninger AL; Alabi CA; Dorrello NV; Marot S.; Marcelin AG; Zarubica A.; Moscona A.; Porotto M.; Horvat B.,8,1,57,https://doi.org/10.1038/s42003-025-07491-4
10.1038/srep23110,pdfs,no,yes,other,no,,itraconazole | rhinovirus | antifungal | cholesterol trafficking | animal model,Therapeutic and prophylactic activity of itraconazole against human rhinovirus infection in a murine model,Scientific Reports,2016,Aeri Shim; Jae-Hyoung Song; Bo-Eun Kwon; Jeong-Jun Lee; Jae-Hee Ahn; Yeon-Jeong Kim; Ki-Jong Rhee; Sun-Young Chang; Younggil Cha; Yong-Soo Lee; Mi-Na Kweon; Kwi Sung Park; Dong-Eun Kim; Sungchan Cho; Hyun-Jong Cho; Hyun-Jeong Ko,6,1,23110,https://doi.org/10.1038/srep23110
10.1038/srep22880,pdfs,yes,yes,other,no,,antiviral drug discovery | PA endonuclease inhibitor | intranasal influenza treatment | in vivo efficacy,A novel small-molecule inhibitor of influenza A virus acts by suppressing PA endonuclease activity of the viral polymerase,Scientific Reports,2016,Shuofeng Yuan; Hin Chu; Kailash Singh; Hanjun Zhao; Ke Zhang; Richard Y. T. Kao; Billy K. C. Chow; Jie Zhou; Bo-Jian Zheng,6,1,22880,https://doi.org/10.1038/srep22880
10.1038/srep27870,pdfs,yes,yes,case_series,no,,S. epidermidis | intranasal immunomodulation | influenza | bacterial interference | recombinant protein,Nasal commensal Staphylococcus epidermidis counteracts influenza virus,Scientific Reports,2016,Hui-Wen Chen; Pei-Feng Liu; Yu-Tsueng Liu; Sherwin Kuo; Xing-Quan Zhang; Robert T. Schooley; Holger Rohde; Richard L. Gallo; Chun-Ming Huang,6,1,27870,https://doi.org/10.1038/srep27870
10.1038/srep28729,pdfs,yes,yes,other,no,,intranasal chitosan | H7N9 influenza | innate immune stimulation | prophylaxis | mouse model,Intranasal Administration of Chitosan Against Influenza A (H7N9) Virus Infection in a Mouse Model,Scientific Reports,2016,Mei Zheng; Di Qu; Haiming Wang; Zhiping Sun; Xueying Liu; Jianjun Chen; Changgui Li; Xuguang Li; Ze Chen,6,1,28729,https://doi.org/10.1038/srep28729
10.1055/s-0031-1296635,pdfs,no,yes,other,yes,,oxymetazoline|rhinovirus|in vitro|decongestant,Anti-Rhinovirus-specific Activity of the Alpha-sympathomimetic Oxymetazoline,Arzneimittelforschung,2011,Stephan Koelsch; Marion Tschaikin; Fritz Sacher,57,07,475-482,https://doi.org/10.1055/s-0031-1296635
10.1038/srep37999,pdfs,no,no,other,yes,,influenza | NKT cells | intranasal immunotherapy | swine model,Rapid control of pandemic H1N1 influenza by targeting NKT-cells,Scientific Reports,2016,Bianca L. Artiaga; Guan Yang; Tarun E. Hutchinson; Julia C. Loeb; Jürgen A. Richt; John A. Lednicky; Shahram Salek-Ardakani; John P. Driver,6,1,37999,https://doi.org/10.1038/srep37999
10.1056/nejm198601093140201,pdfs,no,no,unclear,yes,,document header|permissions notice|archive material,Prophylactic Efficacy of Intranasal Alpha<sub>2</sub>-Interferon against Rhinovirus Infections in the Family Setting,New England Journal of Medicine,1986,Robert M. Douglas; Brian W. Moore; Helen B. Miles; Lorraine M. Davies; Neil M.H. Graham; Philip Ryan; David A. Worswick; Janice K. Albrecht,314,2,65-70,https://doi.org/10.1056/nejm198601093140201
10.1056/nejm198601093140202,pdfs,no,no,unclear,yes,,metadata|archive|journal header,Prevention of Natural Colds by Contact Prophylaxis with Intranasal Alpha<sub>2</sub>-Interferon,New England Journal of Medicine,1986,Frederick G. Hayden; Janice K. Albrecht; Donald L. Kaiser; Jack M. Gwaltney,314,2,71-75,https://doi.org/10.1056/nejm198601093140202
10.1056/nejm199709253371302,pdfs,yes,yes,rct,no,,zanamivir | intranasal antiviral | influenza treatment | neuraminidase inhibitor | respiratory tract delivery,Efficacy and Safety of the Neuraminidase Inhibitor Zanamivir in the Treatment of Influenzavirus Infections,New England Journal of Medicine,1997,Frederick G. Hayden; Albert D.M.E. Osterhaus; John J. Treanor; Douglas M. Fleming; Fred Y. Aoki; Karl G. Nicholson; Arthur M. Bohnen; Hilary M. Hirst; Oliver Keene; Kevin Wightman,337,13,874-880,https://doi.org/10.1056/nejm199709253371302
10.1073/pnas.0912186107,pdfs,yes,yes,rct,no,,intranasal immunomodulator | RSV treatment | siRNA | clinical trial | antiviral innate immunity,"A randomized, double-blind, placebo-controlled study of an RNAi-based therapy directed against respiratory syncytial virus",Proceedings of the National Academy of Sciences,2010,John DeVincenzo; Robert Lambkin-Williams; Tom Wilkinson; Jeffrey Cehelsky; Sara Nochur; Edward Walsh; Rachel Meyers; Jared Gollob; Akshay Vaishnaw,107,19,8800-8805,https://doi.org/10.1073/pnas.0912186107
10.1073/pnas.1404205111,pdfs,yes,yes,other,no,,intranasal biologics | sialic acid binding | influenza prophylaxis | mCBM | receptor masking,Prevention of influenza by targeting host receptors using engineered proteins,Proceedings of the National Academy of Sciences,2014,Helen Connaris; Elena A. Govorkova; Yvonne Ligertwood; Bernadette M. Dutia; Lei Yang; Sandra Tauber; Margaret A. Taylor; Nadiawati Alias; Robert Hagan; Anthony A. Nash; Robert G. Webster; Garry L. Taylor,111,17,6401-6406,https://doi.org/10.1073/pnas.1404205111
10.1073/pnas.2319566121,pdfs,yes,yes,other,no,,intranasal neomycin | antiviral immunity | COVID-19 | influenza | SARS-CoV-2 transmission,Intranasal neomycin evokes broad-spectrum antiviral immunity in the upper respiratory tract,Proceedings of the National Academy of Sciences,2024,Tianyang Mao; Jooyoung Kim; Mario A. Peña-Hernández; Gabrielee Valle; Miyu Moriyama; Sophia Luyten; Isabel M. Ott; Maria Luisa Gomez-Calvo; Jeff R. Gehlhausen; Emily Baker; Benjamin Israelow; Martin Slade; Lokesh Sharma; Wei Liu; Changwan Ryu; Asawari Korde; Chris J. Lee; Valter Silva Monteiro; Carolina Lucas; Huiping Dong; Yi Yang; Smita Gopinath; Craig B. Wilen; Noah Palm; Charles S. Dela Cruz; Akiko Iwasaki; Chantal B. F. Vogels; Anne M. Hahn; Nicholas F. G. Chen; Mallery Breban; Tobias R. Koch; Chrispin Chaguza; Irina Tikhonova; Christopher Castaldi; Shrikant Mane; Bony De Kumar; David Ferguson; Nicholas Kerantzas; David Peaper; Marie L. Landry; Wade Schulz; Nathan Grubaugh,121,18,e2319566121,https://doi.org/10.1073/pnas.2319566121
10.1073/pnas.2408469121,pdfs,yes,no,other,yes,protocol,zanamivir conjugate synthesis | immune cell recruitment | influenza | chemical synthesis,Targeted recruitment of immune effector cells for rapid eradication of influenza virus infections,Proceedings of the National Academy of Sciences,2024,Imrul Shahriar; Mohini Kamra; Ananda Kumar Kanduluru; Charity Lynn Campbell; Thanh Hiep Nguyen; Madduri Srinivasarao; Philip S. Low,121,41,e2408469121,https://doi.org/10.1073/pnas.2408469121
10.1080/22221751.2021.1899770,,unknown,,,,,,The preclinical inhibitor GS441524 in combination with GC376 efficaciously inhibited the proliferation of SARS-CoV-2 in the mouse respiratory tract,Emerging Microbes &amp; Infections,2021,Yuejun Shi; Lei Shuai; Zhiyuan Wen; Chong Wang; Yuanyuan Yan; Zhe Jiao; Fenglin Guo; Zhen F. Fu; Huanchun Chen; Zhigao Bu; Guiqing Peng,10,1,481-492,https://doi.org/10.1080/22221751.2021.1899770
10.1073/pnas.2219523120,pdfs,no,yes,other,no,,siRNA | intranasal delivery | SARS-CoV-2 | oligonucleotide therapeutics,Divalent siRNAs are bioavailable in the lung and efficiently block SARS-CoV-2 infection,Proceedings of the National Academy of Sciences,2023,Vignesh N. Hariharan; Minwook Shin; Ching-Wen Chang; Daniel O’Reilly; Annabelle Biscans; Ken Yamada; Zhiru Guo; Mohan Somasundaran; Qi Tang; Kathryn Monopoli; Pranathi Meda Krishnamurthy; Gitali Devi; Nicholas McHugh; David A. Cooper; Dimas Echeverria; John Cruz; Io Long Chan; Ping Liu; Sun-Young Lim; Jill McConnell; Satya Prakash Singh; Samuel Hildebrand; Jacquelyn Sousa; Sarah M. Davis; Zachary Kennedy; Chantal Ferguson; Bruno M. D. C. Godinho; Yann Thillier; Jillian Caiazzi; Socheata Ly; Manish Muhuri; Karen Kelly; Fiachra Humphries; Alyssa Cousineau; Krishna Mohan Parsi; Qi Li; Yang Wang; René Maehr; Guangping Gao; Dmitry Korkin; William M. McDougall; Robert W. Finberg; Katherine A. Fitzgerald; Jennifer P. Wang; Jonathan K. Watts; Anastasia Khvorova,120,11,e2219523120,https://doi.org/10.1073/pnas.2219523120
10.1080/10717544.2018.1428242,pdfs,yes,yes,other,no,,intranasal ribavirin | nose-to-brain delivery | antiviral formulation | powder agglomerates | preclinical,<i>In vivo</i> nose-to-brain delivery of the hydrophilic antiviral ribavirin by microparticle agglomerates,Drug Delivery,2018,Alessandro Giuliani; Anna Giulia Balducci; Elisa Zironi; Gaia Colombo; Fabrizio Bortolotti; Luca Lorenzini; Viola Galligioni; Giampiero Pagliuca; Alessandra Scagliarini; Laura Calzà; Fabio Sonvico,25,1,376-387,https://doi.org/10.1080/10717544.2018.1428242
10.1080/15476910500203925,pdfs,yes,no,other,yes,review,rupintrivir | rhinovirus | intranasal antiviral | safety assessment | immunotoxicology,Lack of Respiratory and Contact Sensitizing Potential of the Intranasal Antiviral Drug Candidate Rupintrivir (AG7088): A Weight-of-the-Evidence Evaluation,Journal of Immunotoxicology,2005,Leigh Ann Burns-Naas; Caroline Lee; Winston Evering; Lisa Ahern; Stephanie Webber; Mark Zorbas,2,3,123-139,https://doi.org/10.1080/15476910500203925
10.1080/19420862.2018.1433974,pdfs,no,yes,other,yes,,RSV antibodies | IgA reformatting | in vitro and in vivo studies,Reformatting palivizumab and motavizumab from IgG to human IgA impairs their efficacy against RSV infection in vitro and in vivo,mAbs,2018,Jacobino SR; Nederend M.; Reijneveld JF; Augustijn D.; Jansen JHM; Meeldijk J.; Reiding KR; Wuhrer M.; Coenjaerts FEJ; Hack CE; Bont LJ; Leusen JHW,10,3,453-462,https://doi.org/10.1080/19420862.2018.1433974
10.1080/22221751.2023.2275598,pdfs,yes,yes,other,no,,ACE2 viral trap | intranasal antiviral | SARS-CoV-2 | prophylaxis and treatment | animal models,An ACE2 decamer viral trap as a durable intervention solution for current and future SARS-CoV,Emerging Microbes &amp; Infections,2023,Hailong Guo; Bomsoo Cho; Paul R. Hinton; Sijia He; Yongjun Yu; Ashwin Kumar Ramesh; Jwala Priyadarsini Sivaccumar; Zhiqiang Ku; Kristen Campo; Sarah Holland; Sameer Sachdeva; Christopher Mensch; Mohamed Dawod; Annalis Whitaker; Philip Eisenhauer; Allison Falcone; Rebekah Honce; Jason W. Botten; Stephen F. Carroll; Bruce A. Keyt; Andrew W. Womack; William R. Strohl; Kai Xu; Ningyan Zhang; Zhiqiang An; Sha Ha; John W. Shiver; Tong-Ming Fu,12,2,2275598,https://doi.org/10.1080/22221751.2023.2275598
10.1086/313696,pdfs,no,no,other,yes,guideline,conflict of interest policy | journal editorial | publication ethics,Short-Term Treatment with Zanamivir to Prevent Influenza: Results of a Placebo-Controlled Study,Clinical Infectious Diseases,2000,Kaiser L.; Henry D.; Flack NP; Keene O.; Hayden FG,30,3,587-589,https://doi.org/10.1086/313696
