doi,spray_type,agent,confidence
10.3389/fimmu.2021.704427,other,protectin conjugates in tissue regeneration 1 (pctr1) and protectin d1 (pd1),high
10.3389/fimmu.2022.867022,other,om-85 (bacterial lysate),high
10.3389/fimmu.2018.00986,interferon,type iii interferon,high
10.33667/2078-5631-2019-1-9(384)-38-46,other,sodium deoxyribonucleate (derinat),high
10.3389/fmed.2022.863917,antiseptic,povidone-iodine plus glycyrrhizic acid,high
10.3389/fimmu.2022.899617,other,anti-sars-cov-2 rbd igy,high
10.3389/fmed.2025.1565069,antiseptic,povidone-iodine (nasodine),high
10.3389/fmedt.2021.687681,barrier_agent,iota-carrageenan,high
10.3389/fvets.2024.1360398,other,"essential oils (ajowan, thyme, fennel, cinnamon leaf, citronella)",high
10.3389/fphar.2023.1292479,other,lentinan,high
10.3389/fviro.2021.746824,barrier_agent,iota-carrageenan,high
10.3389/fmolb.2023.1232573,other,"aromatic amino acid metabolites (pooled tryptophan, tyrosine, phenylalanine metabolites)",medium
10.3389/fmicb.2014.00171,other,ladania067 (wild black currant leaf extract),high
10.3389/fphar.2022.861295,other,azelastine,high
10.3390/antibiotics15030245,antiseptic,neomycin sulfate,high
10.3389/fmicb.2018.01164,other,lentinus edodes mycelia extract,medium
10.3390/biomedicines12112462,other,betainized polyethyleneimine (b-pei),high
10.3390/gels10060385,other,chlorhexidine-silver nanoparticles conjugates,high
10.3390/ijerph191912148,antiseptic,povidone-iodine,high
10.3390/ijerph182010985,lactoferrin,liposomal bovine lactoferrin,high
10.3390/ijms222413202,barrier_agent,iota-carrageenan,high
10.3390/ijms21144903,lactoferrin,lactoferrin,high
10.3390/ijms24043695,barrier_agent,usnic acid,high
10.3390/ijms25042061,barrier_agent,hydroxypropyl beta-cyclodextrin (hpbcd),high
10.3390/ijms24054967,other,ginsenoside rk1,medium
10.3390/ijms26136334,other,diammonium glycyrrhizinate,medium
10.3390/microorganisms14051098,other,griffithsin (q-grft),high
10.3390/md23030112,other,solubilized sturgeon oil,high
10.3390/ph15040452,other,diphenhydramine,high
10.3390/ijms262311341,other,resveratrol,medium
10.3390/molecules27041178,barrier_agent,carrageenan nasal spray,high
10.3390/jcm15083087,other,carboxymethyl-beta-glucan-resveratrol,high
10.3390/ph15091053,other,larifan (bacteriophage-derived dsrna),medium
10.3390/ph17091180,other,unspecified,low
10.3390/ijms27021053,other,camostat with xanthan gum,high
10.3390/pharmaceutics13081126,antiviral_drug,ribavirin,high
10.3390/pharmaceutics13081180,other,cyclodextrins,medium
10.3390/pharmaceutics16111349,interferon,interferon-alpha and interferon-gamma,high
10.3390/pharmaceutics14122680,antiviral_drug,favipiravir,high
10.3390/pharmaceutics15020591,other,hydroxypropyl methylcellulose and usnic acid (hexedra+),high
10.3390/pharmaceutics16091173,other,astodrimer sodium,high
10.3390/pharmaceutics15082055,other,18beta-glycyrrhetinic acid,high
10.3390/pharmaceutics14112502,saline_irrigation,"hypertonic seawater solution with xylitol, panthenol, and lactic acid (tonimer lab panthexyl 800)",high
10.3390/v11020109,other,mx1-9r,high
10.3390/v13081498,other,dzif-10c (monoclonal neutralizing antibody),high
10.3390/v13081656,other,astodrimer sodium,high
10.3390/v13122345,barrier_agent,hydroxypropyl methylcellulose (nasaleze),high
10.3390/v14050976,other,neumifil,high
10.3390/v14051105,other,3d8 scfv (single chain variable fragment),high
10.3390/v15030725,other,neumifil,high
10.3390/v14122620,other,heparin,high
10.3390/v15112161,antiviral_drug,remdesivir,high
10.3390/v16020196,other,epigallocatechin-3-gallate-palmitate (ec16),high
10.3390/v15102024,other,epigallocatechin gallate-modified silver nanoparticles (egcg-agnps),high
10.3390/v15122300,antiviral_drug,azelastine hydrochloride,high
10.3390/v16121919,other,phlorotannin-rich ascophyllum nodosum seaweed extract,medium
10.3390/v18010091,nitric_oxide,nitric oxide nasal spray (nons),high
10.3390/v18040444,other,neomycin,medium
10.3390/v6031410,interferon,adenovirus-vectored interferon alpha (def201),high
10.3390/v2071448,other,sirna,high
10.3390/v7020798,other,maleic anhydride-modified human serum albumin (ml-hsa),high
10.3390/v7092863,other,3d8 scfv (catalytic rna-hydrolyzing antibody),high
10.37489/0235-2990-2021-66-5-6-11-16,other,thymogen,medium
10.34883/pi.2021.9.4.017,other,lysozyme,high
10.34133/bmr.0287,interferon,interferon lambda (nlp@ifn-lambda),high
10.35617/jfionline.v13i2.124,other,silver nanoparticles (agnp),high
10.37489/0235-2990-2022-67-9-10-42-48,other,double-stranded ribonucleic acid (dsrna),high
10.37489/0235-2990-2023-68-7-8-27-33,interferon,recombinant human interferon-alpha-2b with double-stranded ribonucleic acid,high
10.3851/imp1688,antiviral_drug,laninamivir (cs-8958),high
10.4049/jimmunol.1700523,other,rice bran dsrna (rb-dsrna),high
10.3851/imp1744,other,theramax (green tea and elderberry extract),high
10.37489/0235-2990-2023-68-9-10-46-57,other,thymogen,high
10.37489/0235-2990-2025-70-3-4-5-11,other,thymogen,high
10.4067/s0718-381x2020000400513,antiseptic,povidone-iodine,high
10.4049/jimmunol.190.supp.183.18,other,oenothein b,medium
10.4103/ijo.ijo_883_20,antiseptic,benzalkonium chloride (bak),high
10.4103/2045-9912.385414,nitric_oxide,nitric oxide (nasal spray),high
10.4103/jfmpc.jfmpc_993_21,antiseptic,povidone-iodine,high
10.4178/epih.e2021051,antiseptic,hydrogen peroxide,high
10.4236/ojrd.2025.151003,barrier_agent,iota-carrageenan,high
10.46607/iamj01p7062023,saline_irrigation,herbal phytoconstituents with xylitol in saline solution,medium
10.4178/epih.e2021032,antiseptic,hydrogen peroxide,high
10.53365/nrfhh/140607,other,"curcumin, sitopaladi churna, and kaempferol in zein-chitosan nanoparticles",high
10.5152/alphapsychiatry.2024.241549,antiviral_drug,esketamine,low
10.5281/zenodo.4376588,other,neem oil and hypericum (st. john's wort),high
10.53730/ijhs.v6ns4.10257,nitric_oxide,nitric oxide (nons),high
10.5694/j.1326-5377.1990.tb125353.x,interferon,intranasal interferon,high
10.5799/jmid.1036836,other,iron phthalocyanine derivative,medium
10.5772/20920,other,unspecified,low
10.64063/10.64063/3049-1681.vol.2.issue9.4,other,nanosized antiviral agents (unspecified),low
10.64063/3049-1681.vol.2.issue8.9,other,unspecified,low
10.7326/0003-4819-12-1-95,other,unspecified,low
10.70675/e7c62c36zd76fz452ez97e8z423cd06e6a46,other,c2x (nanobinder),high
10.7499/j.issn.1008-8830.2014.03.011,antiviral_drug,ribavirin,high
10.7759/cureus.11315,barrier_agent,xylitol plus grapefruit seed extract (xlear),high
10.7759/cureus.27182,barrier_agent,xylitol,high
pmid_10682150,antiviral_drug,zanamivir,high
pmid_1026519,antiviral_drug,bonaphthon,medium
pmid_11881202,interferon,poludane,high
pmid_12945208,interferon,ridostin,high
pmid_1330221,interferon,recombinant interferon alpha and beta,high
pmid_1302513,other,bacterial ribonuclease-chitosan conjugate,medium
pmid_16261198,interferon,recombinant interferon alpha2b,high
pmid_16261200,interferon,recombinant human interferon alpha-2b,high
pmid_16261199,interferon,recombinant human interferon alpha-2b,high
pmid_16261201,interferon,interferon alpha-2b,high
pmid_2360851,other,bacterial ribonuclease,medium
pmid_35777803,other,griffithsin (q-grft),high
pmid_34596523,other,unspecified,low
pmid_235197,other,6-amino-6-deoxy-d-glucose hydrochloride,high
pmid_2454085,other,epsilon-aminocaproic acid,medium
pmid_4036004,other,aqueous horse-radish extract,high
pmid_40305796,other,intranasal antihistamine,medium
pmid_36451565,antiviral_drug,acyclovir,high
pmid_4081525,interferon,recombinant interferon alpha,high
pmid_616674,interferon,human leukocyte interferon,high
pmid_6184029,interferon,mouse interferon (mu-ifn),high
pmid_6341640,antiviral_drug,ribavirin,high
pmid_6178364,interferon,polyguacyl polynucleotide and dsrna,medium
pmid_9879333,antiviral_drug,zanamivir,high
pmid_6272492,interferon,polyguacyl,high
pmid_7988393,interferon,intranasal interferon,medium
pmid_838422,other,avipox virus premunization inducer (pind),medium
pmid_7165687,interferon,human interferon-alpha,high
grey:miller-2023-thai-prevention,nitric_oxide,nitric oxide (nons),high
nct:NCT04337918,nitric_oxide,nitric oxide (nons),high
nct:NCT05109611,nitric_oxide,nitric oxide (nons),high
10.1101/2023.03.19.23287462,other,sa58 (anti-sars-cov-2 monoclonal antibody),high
10.1080/22221751.2023.2212806,other,sa58 (anti-sars-cov-2 monoclonal antibody),high
10.46234/ccdcw2023.040,other,sa58 (anti-sars-cov-2 monoclonal antibody),high
10.1002/jmv.29275,other,igm-like ace2 fusion protein (hh-120),high
10.1038/s41467-023-37290-6,other,trisb92 (trimeric sherpabody),high
10.1101/2023.03.17.23287398,other,a8g6 antibody cocktail,high
10.2139/ssrn.4397031,other,a8g6 antibody cocktail,high
10.1016/j.medj.2022.08.002,other,sti-9167 (neutralizing antibody),high
10.1016/j.celbio.2025.100017,other,ace2 decoy vesicle,high
10.3390/v14051033,antiseptic,acidic hypochlorous solution (sentinox),high
10.20944/preprints202509.1594.v1,antiseptic,cetylpyridinium chloride (+ limonene + monolaurin),high
10.3205/000321,antiseptic,phthalocyanine,high
10.1016/j.jhin.2022.05.007,antiseptic,hydrogen peroxide,high
10.1111/coa.14056,saline_irrigation,povidone-iodine / hypertonic alkaline / saline nasal lavage,high
10.1002/lio2.686,saline_irrigation,hypertonic alkaline nasal irrigation,high
10.1007/s12519-023-00749-z,saline_irrigation,physiological seawater nasal irrigation,high
10.21037/tcr-23-2384,saline_irrigation,saline nasal irrigation,high
10.21203/rs.3.rs-2167465/v1,other,chlorpheniramine maleate (intranasal),high
10.1016/j.ijid.2021.04.035,antiseptic,povidone-iodine throat spray (+ oral hydroxychloroquine),high
10.1016/j.antiviral.2007.01.003,other,cinnamaldehyde,high
10.1016/j.indcrop.2022.114524,other,maqian essential oil (limonene),high
10.3969/j.issn.1674-3865.2017.06.001,other,ganlu xiaodu volatile oil,high
10.3969/j.issn.1674-4985.2018.03.001,other,ganlu xiaodu volatile oil,high
10.13194/j.issn.1673-842x.2018.01.006,other,ganlu xiaodu volatile oil,high
10.13193/j.issn.1673-7717.2019.02.019,other,ganlu xiaodu volatile oil,high
10.1016/j.biopha.2022.113773,other,agrimonia pilosa + galla rhois extract (aprg64),high
10.1001/jama.1983.03330430042027,antiviral_drug,ribavirin,high
10.1177/135965359900400202,antiviral_drug,zanamivir,high
10.1001/archfami.7.1.39,saline_irrigation,hypertonic saline,high
10.1155/bri/8846903,nitric_oxide,nitric oxide,high
10.1086/314904,antiviral,zanamivir,high
10.1001/jama.1996.03530280047035,antiviral_drug,zanamivir (gg167),high
10.1016/s2213-2600(24)00140-1,saline_spray,saline nasal spray,high
